t1|t2|route_num|t3|t4|point|t5|simtime|feature_text|feature_num|log
In|Route:|332.0|In|point:|6.0|SimTime:|0.0|TargetRHO:|5.3497|DRONE out of control and lost the target
In|Route:|332.0|In|point:|6.0|SimTime:|0.0|TargetRHO:|5.3497|DRONE out of control and lost the target
In|Route:|332.0|In|point:|6.0|SimTime:|0.0|TargetRHO:|5.3497|DRONE out of control and lost the target
In|Route:|332.0|In|point:|6.0|SimTime:|0.0|TargetRHO:|5.3497|DRONE out of control and lost the target
In|Route:|332.0|In|point:|6.0|SimTime:|0.0|TargetRHO:|5.3497|DRONE out of control and lost the target
In|Route:|332.0|In|point:|6.0|SimTime:|0.0|TargetRHO:|5.3497|DRONE out of control and lost the target
In|Route:|332.0|In|point:|6.0|SimTime:|0.0|TargetRHO:|5.3497|DRONE out of control and lost the target
In|Route:|332.0|In|point:|5.0|SimTime:|-7.1|TankMass:|10.001|Negative Simtime
In|Route:|332.0|In|point:|5.0|SimTime:|-6.1|TankMass:|10.001|Negative Simtime
In|Route:|332.0|In|point:|5.0|SimTime:|-5.1|TankMass:|10.001|Negative Simtime
In|Route:|332.0|In|point:|5.0|SimTime:|-4.1|TankMass:|10.001|Negative Simtime
In|Route:|332.0|In|point:|5.0|SimTime:|-3.1|TankMass:|10.001|Negative Simtime
In|Route:|332.0|In|point:|5.0|SimTime:|-2.1|TankMass:|10.001|Negative Simtime
In|Route:|332.0|In|point:|5.0|SimTime:|-1.1|TankMass:|10.001|Negative Simtime
In|Route:|332.0|In|point:|5.0|SimTime:|-0.1|TankMass:|10.001|Negative Simtime
In|Route:|333.0|In|point:|6.0|SimTime:|0.0|TargetRHO:|2.137|DRONE out of control and lost the target
In|Route:|333.0|In|point:|6.0|SimTime:|0.0|TargetRHO:|2.137|DRONE out of control and lost the target
In|Route:|333.0|In|point:|6.0|SimTime:|0.0|TargetRHO:|2.137|DRONE out of control and lost the target
In|Route:|333.0|In|point:|6.0|SimTime:|0.0|TargetRHO:|2.137|DRONE out of control and lost the target
In|Route:|333.0|In|point:|6.0|SimTime:|0.0|TargetRHO:|2.137|DRONE out of control and lost the target
In|Route:|333.0|In|point:|6.0|SimTime:|0.0|TargetRHO:|2.137|DRONE out of control and lost the target
In|Route:|333.0|In|point:|6.0|SimTime:|0.0|TargetRHO:|2.137|DRONE out of control and lost the target
In|Route:|333.0|In|point:|5.0|SimTime:|-6.8|TankMass:|10.001|Negative Simtime
In|Route:|333.0|In|point:|5.0|SimTime:|-5.8|TankMass:|10.001|Negative Simtime
In|Route:|333.0|In|point:|5.0|SimTime:|-4.8|TankMass:|10.001|Negative Simtime
In|Route:|333.0|In|point:|5.0|SimTime:|-3.8|TankMass:|10.001|Negative Simtime
In|Route:|333.0|In|point:|5.0|SimTime:|-2.8|TankMass:|10.001|Negative Simtime
In|Route:|333.0|In|point:|5.0|SimTime:|-1.8|TankMass:|10.001|Negative Simtime
In|Route:|333.0|In|point:|5.0|SimTime:|-0.8|TankMass:|10.001|Negative Simtime
In|Route:|334.0|In|point:|5.0|SimTime:|-503.1|TankMass:|10.001|Negative Simtime
