In Route: 484.0 In point: 6.0 SimTime: -622.6 TankMass: 10.001 |Negative Simtime 
In Route: 484.0 In point: 6.0 SimTime: -622.6 TargetRHO: 4.2436 |DRONE out of control and lost the target 
In Route: 484.0 In point: 6.0 SimTime: -622.6 TankMass: 10.001 |Negative Simtime 
In Route: 484.0 In point: 6.0 SimTime: -622.6 TargetRHO: 4.2436 |DRONE out of control and lost the target 
In Route: 484.0 In point: 6.0 SimTime: -622.6 TankMass: 10.001 |Negative Simtime 
In Route: 484.0 In point: 6.0 SimTime: -622.6 TargetRHO: 4.2436 |DRONE out of control and lost the target 
In Route: 484.0 In point: 6.0 SimTime: -622.6 TankMass: 10.001 |Negative Simtime 
In Route: 484.0 In point: 6.0 SimTime: -622.6 TargetRHO: 4.2436 |DRONE out of control and lost the target 
In Route: 484.0 In point: 6.0 SimTime: -622.6 TankMass: 10.001 |Negative Simtime 
In Route: 484.0 In point: 6.0 SimTime: -622.6 TargetRHO: 4.2436 |DRONE out of control and lost the target 
In Route: 484.0 In point: 6.0 SimTime: -622.6 TankMass: 10.001 |Negative Simtime 
In Route: 484.0 In point: 6.0 SimTime: -622.6 TargetRHO: 4.2436 |DRONE out of control and lost the target 
In Route: 484.0 In point: 6.0 SimTime: -622.6 TankMass: 10.001 |Negative Simtime 
In Route: 484.0 In point: 6.0 SimTime: -622.6 TargetRHO: 4.2436 |DRONE out of control and lost the target 
In Route: 484.0 In point: 5.0 SimTime: -6.75 TankMass: 10.001 |Negative Simtime 
In Route: 484.0 In point: 5.0 SimTime: -5.75 TankMass: 10.001 |Negative Simtime 
In Route: 484.0 In point: 5.0 SimTime: -4.7 TankMass: 10.001 |Negative Simtime 
In Route: 484.0 In point: 5.0 SimTime: -3.7 TankMass: 10.001 |Negative Simtime 
In Route: 484.0 In point: 5.0 SimTime: -2.7 TankMass: 10.001 |Negative Simtime 
In Route: 484.0 In point: 5.0 SimTime: -1.7 TankMass: 10.001 |Negative Simtime 
In Route: 484.0 In point: 5.0 SimTime: -0.7 TankMass: 10.001 |Negative Simtime 
In Route: 485.0 In point: 7.0 SimTime: 0.0 TargetRHO: 2.1182 |DRONE out of control and lost the target 
In Route: 485.0 In point: 7.0 SimTime: 0.0 TargetRHO: 2.1182 |DRONE out of control and lost the target 
In Route: 485.0 In point: 7.0 SimTime: 0.0 TargetRHO: 2.1182 |DRONE out of control and lost the target 
In Route: 485.0 In point: 7.0 SimTime: 0.0 TargetRHO: 2.1182 |DRONE out of control and lost the target 
In Route: 485.0 In point: 7.0 SimTime: 0.0 TargetRHO: 2.1182 |DRONE out of control and lost the target 
In Route: 485.0 In point: 7.0 SimTime: 0.0 TargetRHO: 2.1182 |DRONE out of control and lost the target 
In Route: 485.0 In point: 7.0 SimTime: 0.0 TargetRHO: 2.1182 |DRONE out of control and lost the target 
In Route: 485.0 In point: 6.0 SimTime: -6.75 TankMass: 10.001 |Negative Simtime 
In Route: 485.0 In point: 6.0 SimTime: -5.7 TankMass: 10.001 |Negative Simtime 
In Route: 485.0 In point: 6.0 SimTime: -4.65 TankMass: 10.001 |Negative Simtime 
In Route: 485.0 In point: 6.0 SimTime: -3.65 TankMass: 10.001 |Negative Simtime 
In Route: 485.0 In point: 6.0 SimTime: -2.55 TankMass: 10.001 |Negative Simtime 
In Route: 485.0 In point: 6.0 SimTime: -1.55 TankMass: 10.001 |Negative Simtime 
In Route: 485.0 In point: 6.0 SimTime: -0.5 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -515.0 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -513.95 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -512.8 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -511.75 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -510.7 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -509.55 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -508.5 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -507.45 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -506.4 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -505.3 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -504.25 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -503.2 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -502.1 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -501.1 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -499.95 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -498.9 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -497.85 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -496.8 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -495.7 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -494.6 TankMass: 10.001 |Negative Simtime 
In Route: 486.0 In point: 5.0 SimTime: -493.55 TankMass: 10.001 |Negative Simtime 
