route_num|missing_points|simTime|tankMass|force_array|torque_array|rpm_list|droneVel|error_target_vel|error_target_dist|xDisplacement|yDisplacement|x_avg_Vel|y_avg_Vel|pos_x|pos_y|pos_z 
0|0|0|10.0009892578125|[94.78547668457031, 94.78437805175781, 94.7894287109375, 94.79057312011719]|[-0.18957096338272095, 0.18956875801086426, -0.1895788609981537, 0.18958114087581635]|[5289.800621033854, 5289.7699646211995, 5289.910897493694, 5289.942830402254]|0|0|0|0|0|0|0|3.624846556249395e-07|-2.948716610262636e-05|0.825438380241394
0|0|0|10.0009892578125|[94.78520202636719, 94.78389739990234, 94.78970336914062, 94.79105377197266]|[-0.18957039713859558, 0.18956778943538666, -0.18957941234111786, 0.18958210945129395]|[5289.792956947347, 5289.756552384794, 5289.918561409329, 5289.956242166366]|0|0|0|0|0|0|0|4.3463597876325366e-07|-3.572926652850583e-05|0.825438380241394
1.0|3.0|0.0|10.0009892578125|[94.78504180908203, 94.78355407714844, 94.78986358642578, 94.79139709472656]|[-0.1895700842142105, 0.18956710398197174, -0.18957972526550293, 0.18958279490470886]|[5289.788486225089, 5289.746972195114, 5289.923032021655, 5289.965821977056]|0.0|0.019999999552965164|4.045389505336061e-05|4.3463597876325366e-07|3.572926652850583e-05|0|0|4.993731295144244e-07|-4.044331581098959e-05|0.825438380241394
1.0|3.0|1.0|9.915041015625|[94.78498077392578, 94.7833480834961, 94.78992462158203, 94.7916030883789]|[-0.18956996500492096, 0.1895667016506195, -0.18957984447479248, 0.1895831972360611]|[5289.786783091808, 5289.741224072976, 5289.924735111071, 5289.971569855144]|5.504767841557623e-07|0.01999944907618101|4.38102288171649e-05|4.3463597876325366e-07|3.572926652850583e-05|0|0|5.527739972421841e-07|-4.379924575914629e-05|0.825438380241394
1.0|3.0|2.0500001907348633|9.8864736328125|[92.91386413574219, 92.89905548095703, 98.2824478149414, 98.29730224609375]|[-0.18582773208618164, 0.18579810857772827, -0.19656489789485931, 0.19659461081027985]|[5237.3146328113025, 5236.897253361759, 5386.496552463858, 5386.90359523136]|1.3553659528042772e-07|0.019999864016369884|0.03910338133573532|4.3463597876325366e-07|3.572926652850583e-05|0|0|6.994465024945384e-07|0.0008966251043602824|0.8340218663215637
1.0|3.0|3.0500001907348633|9.8579482421875|[91.28898620605469, 91.2674560546875, 98.53317260742188, 98.55474853515625]|[-0.182577982544899, 0.18253491818904877, -0.19706635177135468, 0.19710950553417206]|[5191.317559732402, 5190.705347633222, 5393.36282429724, 5393.953287559081]|3.327377839923429e-07|0.019999666815181172|0.055340927094221115|4.3463597876325366e-07|3.572926652850583e-05|0|0|1.065643914444081e-06|0.004659078549593687|0.835222601890564
1.0|3.0|4.050000190734863|9.8294638671875|[90.6484603881836, 90.62042236328125, 99.03145599365234, 99.05953216552734]|[-0.1812969297170639, 0.18124085664749146, -0.19806291162967682, 0.19811907410621643]|[5173.073156133429, 5172.2730654826855, 5406.982775840564, 5407.749181918838]|7.180941565820831e-07|0.019999281458808582|0.06736156344413757|4.3463597876325366e-07|3.572926652850583e-05|0|0|1.7749932794686174e-06|0.01263844408094883|0.8353472948074341
1.0|3.0|5.050000190734863|9.8010205078125|[90.50697326660156, 90.472900390625, 99.25271606445312, 99.28683471679688]|[-0.18101395666599274, 0.18094579875469208, -0.1985054314136505, 0.19857367873191833]|[5169.034427548986, 5168.061350879134, 5413.019655194963, 5413.949952491534]|1.0065067499454017e-06|0.01999899304621522|0.07436400651931763|4.3463597876325366e-07|3.572926652850583e-05|0|0|2.8699814720312133e-06|0.025636006146669388|0.835278332233429
1.0|3.0|6.050000190734863|9.7726181640625|[90.77034759521484, 90.73088073730469, 99.14917755126953, 99.18869018554688]|[-0.18154069781303406, 0.18146176636219025, -0.1982983499765396, 0.19837737083435059]|[5176.54988162368, 5175.424379868538, 5410.195539797094, 5411.273459903956]|1.5289656403183471e-06|0.019998470587324846|0.07616252452135086|4.3463597876325366e-07|3.572926652850583e-05|0|0|4.347125468484592e-06|0.04383748769760132|0.8351397514343262
1.0|3.0|7.050000190734863|9.7442568359375|[91.35967254638672, 91.31574249267578, 98.75821685791016, 98.80219268798828]|[-0.18271934986114502, 0.1826314777135849, -0.19751642644405365, 0.19760438799858093]|[5193.3270257583135, 5192.078276934462, 5399.518380954062, 5400.720417012698]|1.7300353647442535e-06|0.01999826951760042|0.07312443107366562|4.3463597876325366e-07|3.572926652850583e-05|0|0|6.098694939282723e-06|0.06687558442354202|0.8349676132202148
1.0|3.0|8.05000114440918|9.7159375|[92.17025756835938, 92.12291717529297, 98.14540100097656, 98.19277954101562]|[-0.18434050679206848, 0.18424583971500397, -0.1962907910346985, 0.19638556241989136]|[5216.31494115297, 5214.975169935501, 5382.739728496063, 5384.03879894067]|1.9118724594591185e-06|0.019998087680505705|0.06609433144330978|4.3463597876325366e-07|3.572926652850583e-05|0|0|8.0148556662607e-06|0.09390567988157272|0.8347958922386169
1.0|3.0|9.05000114440918|9.6876591796875|[93.08380126953125, 93.03421020507812, 97.39042663574219, 97.4400634765625]|[-0.18616759777069092, 0.18606841564178467, -0.1947808563709259, 0.19488012790679932]|[5242.101903602426, 5240.705333828042, 5361.9966481696965, 5363.362894727675]|1.9260323824710213e-06|0.019998073520582693|0.0562531054019928|4.3463597876325366e-07|3.572926652850583e-05|0|0|9.929686711984687e-06|0.12374690175056458|0.8346580862998962
1.0|3.0|10.05000114440918|9.659421875|[93.98362731933594, 93.93304443359375, 96.57941436767578, 96.63003540039062]|[-0.18796725571155548, 0.18786607682704926, -0.193158820271492, 0.1932600736618042]|[5267.378240528722, 5265.9605731169495, 5339.624140065643, 5341.023309241567]|1.6742242223699577e-06|0.019998325328742794|0.04493434727191925|4.3463597876325366e-07|3.572926652850583e-05|0|0|1.1677142538246699e-05|0.155065655708313|0.8345807790756226
1.0|3.0|11.05000114440918|9.6312255859375|[94.76952362060547, 94.7190933227539, 95.79998779296875, 95.8504638671875]|[-0.18953904509544373, 0.18943819403648376, -0.1915999799966812, 0.19170092046260834]|[5289.35544693274, 5287.947930803657, 5318.034260439303, 5319.435085996693]|1.5476380212930962e-06|0.01999845191494387|0.03352189436554909|4.3463597876325366e-07|3.572926652850583e-05|0|0|1.3128644241078291e-05|0.18647810816764832|0.8345749378204346
