route_num|missing_points|simTime|tankMass|force_array|torque_array|rpm_list|droneVel|error_target_vel|error_target_dist 
79.0|11.0|0.8500003814697266|10.0009892578125|[70.26005554199219, 70.26226806640625, 70.26449584960938, 70.26535034179688]|[-0.1405201107263565, 0.14052453637123108, -0.14052899181842804, 0.14053070545196533]|[4554.310627158464, 4554.3823353577145, 4554.454536955545, 4554.482230415388]|0.0|0.09105391800403595|1.4275275361796957e-06
79.0|11.0|1.8500003814697266|9.9722978515625|[-163.7146759033203, 382.2099304199219, 355.0683288574219, -190.82518005371094]|[0.32742932438850403, 0.7644198536872864, -0.7101366519927979, -0.3816503584384918]|[6952.039169060479, 10622.320165088428, 10238.217986192067, 7505.614323729729]|3.2453957743427964e-08|0.0910538855500782|0.06308328360319138
79.0|11.0|2.8500003814697266|9.9436484375|[-223.57577514648438, 462.65289306640625, 417.4229431152344, -268.6893615722656]|[0.4471515715122223, 0.9253057837486267, -0.8348459005355835, -0.53737872838974]|[8124.203186206317, 11686.811658370356, 11100.858373902684, 8906.22453012118]|0.001985817914828658|0.08906810008920729|0.09492629021406174
79.0|11.0|3.8500003814697266|9.915041015625|[-111.46844482421875, 361.5063171386719, 306.89093017578125, -165.8462677001953]|[0.22293688356876373, 0.7230126261711121, -0.6137818694114685, -0.33169254660606384]|[5736.4653545849205, 10330.619109565083, 9518.322834700548, 6997.151144869253]|0.008225541561841965|0.08282837644219398|0.10907670855522156
79.0|11.0|4.850000381469727|9.8864736328125|[87.7447280883789, 167.08375549316406, 108.45507049560547, 29.446664810180664]|[-0.17548945546150208, 0.3341675102710724, -0.21691015362739563, 0.05889333039522171]|[5089.54455039374, 7023.207796057589, 5658.395953335655, 2948.4003929365726]|0.014841007068753242|0.07621291093528271|0.11436756700277328
79.0|11.0|5.850000381469727|9.8579482421875|[282.96868896484375, -26.20279312133789, -86.49494171142578, 223.04147338867188]|[-0.565937340259552, -0.05240558832883835, 0.1729898750782013, 0.4460829496383667]|[9139.819000743242, 2781.263894684587, 5053.168255163534, 8114.489762329546]|0.0191844180226326|0.07186949998140335|0.11579494178295135
79.0|11.0|6.850000381469727|9.8294638671875|[412.93988037109375, -155.50306701660156, -216.46871948242188, 352.3196105957031]|[-0.8258797526359558, -0.3110061287879944, 0.4329374432563782, 0.7046392560005188]|[11041.086639596315, 6775.445925616342, 7994.033760408527, 10198.512032834607]|0.024092964828014374|0.06696095317602158|0.11592458933591843
79.0|11.0|7.850000381469727|9.8010205078125|[457.8731384277344, -200.29014587402344, -261.5429992675781, 396.9161071777344]|[-0.91574627161026, -0.4005802869796753, 0.5230859518051147, 0.7938322424888611]|[11626.285593920002, 7689.501667025778, 8786.986392722389, 10824.747273842966]|0.023029625415802002|0.06802429258823395|0.1158645749092102
79.0|11.0|8.850000381469727|9.7726181640625|[432.07000732421875, -174.5294189453125, -235.9171600341797, 370.9251708984375]|[-0.8641400337219238, -0.3490588366985321, 0.47183433175086975, 0.7418503165245056]|[11293.93968657791, 7177.987957767002, 8345.419451631713, 10464.333126201267]|0.021252207458019257|0.0698017105460167|0.11588838696479797
79.0|11.0|9.850000381469727|9.7442568359375|[367.4542236328125, -110.01454162597656, -171.4774932861328, 306.1971740722656]|[-0.7349084615707397, -0.2200290858745575, 0.34295496344566345, 0.6123943328857422]|[10415.25784046684, 5698.9316828004985, 7114.951878503546, 9507.558211121845]|0.01885322481393814|0.07220069319009781|0.11606626212596893
79.0|11.0|10.850000381469727|9.7159375|[297.47906494140625, -40.15979766845703, -101.6566390991211, 236.1748504638672]|[-0.5949581265449524, -0.0803195908665657, 0.20331327617168427, 0.47234970331192017]|[9371.23023440591, 3443.2151619887445, 5478.179742523856, 8349.976025201082]|0.01681603491306305|0.0742378830909729|0.11636698246002197
79.0|11.0|11.850000381469727|9.6876591796875|[246.0097198486328, 11.171760559082031, -50.32907485961914, 184.7093505859375]|[-0.4920194447040558, 0.02234352007508278, 0.10065814852714539, 0.3694187104701996]|[8522.059012198712, 1816.055904617861, 3854.5872245615287, 7384.3597206171025]|0.01491592824459076|0.07613798975944519|0.11672588437795639
79.0|11.0|12.850000381469727|9.659421875|[223.07749938964844, 33.920345306396484, -27.5396671295166, 161.83853149414062]|[-0.44615498185157776, 0.06784069538116455, 0.05507933348417282, 0.32367706298828125]|[8115.145068287023, 3164.4521739795455, 2851.331732178232, 6912.089748602357]|0.01627480983734131|0.07477910816669464|0.11704632639884949
79.0|11.0|14.049999237060547|9.6030712890625|[-299.615966796875, 239.6998291015625, 493.1337890625, -45.890403747558594]|[0.5992318987846375, 0.4793996512889862, -0.986267626285553, -0.09178080409765244]|[9404.828506962001, 8412.058150442434, 12065.651703960099, 3680.6908650943724]|0.016061320900917053|0.0749925971031189|0.19191701710224152
79.0|11.0|16.150001525878906|9.546884765625|[-152.52456665039062, 216.02752685546875, 346.45623779296875, -23.278247833251953]|[0.3050491511821747, 0.4320550560951233, -0.6929124593734741, -0.0465564951300621]|[6710.243868140001, 7985.883142442813, 10113.293158434266, 2621.461886064138]|0.019138962030410767|0.07191495597362518|0.18457116186618805
