route_num|missing_points|simTime|tankMass|force_array|torque_array|rpm_list|droneVel|error_target_vel|error_target_dist 
3.0|13.0|0|10.0009892578125|[94.78895568847656, 94.7921142578125, 94.7946548461914, 94.79562377929688]|[-0.18957790732383728, 0.18958424031734467, -0.18958932161331177, 0.18959125876426697]|[5289.897698501853, 5289.985833081198, 5290.056722872964, 5290.08375866944]|0.0|0.1306760013103485|1.1821371117548551e-06
1.0|13.0|1.0|9.9722978515625|[-1582.66015625, 1797.27880859375, 1774.1593017578125, -1605.69873046875]|[3.1653201580047607, 3.594557762145996, -3.54831862449646, -3.211397409439087]|[21615.348328459455, 23034.358979155466, 22885.726855620032, 21772.10579611696]|4.190345137544682e-08|0.13067595940689714|0.11239877343177795
1.0|13.0|2.0|9.9436484375|[-2116.9873046875, 2353.037841796875, 2313.177001953125, -2156.438232421875]|[4.233974456787109, 4.706075668334961, -4.626354217529297, -4.3128767013549805]|[24999.28172648219, 26356.203964736003, 26132.011275169127, 25231.142447997452]|0.012544581666588783|0.11813141964375973|0.18412469327449799
1.0|13.0|3.0|9.915041015625|[-1571.947509765625, 1820.715087890625, 1775.0426025390625, -1616.6641845703125]|[3.143894910812378, 3.641430377960205, -3.5500850677490234, -3.233328342437744]|[21542.069565626523, 23184.055061313386, 22891.423205690975, 21846.321093293296]|0.04595262184739113|0.08472337946295738|0.21938391029834747
1.0|13.0|4.0|9.8864736328125|[-335.8719787597656, 591.2943115234375, 545.7064208984375, -380.071533203125]|[0.6717439293861389, 1.1825885772705078, -1.0914127826690674, -0.7601430416107178]|[9957.614075609186, 13212.051396026041, 12692.522323271787, 10592.563481002466]|0.08667430281639099|0.04400169849395752|0.20733240246772766
1.0|13.0|5.0|9.8579482421875|[948.8942260742188, -690.9637451171875, -736.181884765625, 905.2122802734375]|[-1.897788405418396, -1.381927490234375, 1.4723637104034424, 1.810424566268921]|[16736.988048025658, 14282.23038210177, 14742.154802559553, 16347.209277658167]|0.11390265822410583|0.016773343086242676|0.1831725537776947
1.0|13.0|6.0|9.8294638671875|[1718.576416015625, -1461.1151123046875, -1507.5098876953125, 1673.5859375]|[-3.437152862548828, -2.9222302436828613, 3.0150198936462402, 3.3471720218658447]|[22524.37908171967, 20768.762515642426, 21095.92091370597, 22227.591822183713]|0.14274612069129944|-0.012070119380950928|0.15990175306797028
1.0|13.0|7.0|9.8010205078125|[1853.7061767578125, -1598.1005859375, -1646.1517333984375, 1806.7890625]|[-3.7074122428894043, -3.1962013244628906, 3.2923035621643066, 3.6135783195495605]|[23393.15791478826, 21720.532058110937, 22044.656489019893, 23095.22142703697]|0.12641021609306335|0.004265785217285156|0.14721859991550446
1.0|13.0|8.0|9.7726181640625|[1559.0914306640625, -1305.026123046875, -1354.5518798828125, 1510.44775390625]|[-3.118182897567749, -2.6100523471832275, 2.70910382270813, 3.020895481109619]|[21453.7984485071, 19628.08845883778, 19997.063498669635, 21116.466990260597]|0.12419569492340088|0.006480306386947632|0.14502263069152832
1.0|13.0|9.0|9.7442568359375|[1104.5028076171875, -851.1975708007812, -901.7103881835938, 1054.7294921875]|[-2.20900559425354, -1.7023952007293701, 1.8034207820892334, 2.1094589233398438]|[18057.258534062075, 15851.982775449065, 16315.558339587438, 17645.702338109826]|0.10213440656661987|0.028541594743728638|0.15642084181308746
