path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,teo_Xdist,teo_Ydist,sim_Xdist,sim_Ydist,teo_point_vel,Energy,energy_new,avg_energy
1,3,50,45.099998474121094,1.0,0.0,1.0,4.346359787632537e-07,3.572926652850583e-05,0.02,8518904.517521702,1256072.7464644236,185197.82281156877
1,2,80,72.39999389648438,1.0,0.0,1.0,5.7053696025377576e-05,0.8657006157154683,0.0125,21410197.710537735,2505879.3515758966,293290.99404353875
1,1,100,90.14999389648438,1.0,0.0,1.0,4.800070394850309e-05,1.0090681314468384,0.01,32524019.63227555,3428335.1968962345,361378.26015713083
1,0,110,100.04998779296876,1.0,0.0,1.0,3.3535897273395676e-05,0.9993847608566284,0.00909090909090909,45108336.95821854,4381310.596881604,425550.5041347168
2,4,50,13.050000190734865,4.0,0.0,4.0,3.047876998607535e-05,1.0116424560546875,0.08,1991674.07536025,424885.57190081425,90585.90829841682
2,3,50,49.20000076293945,1.0,0.0,1.0,2.7973506689704664e-05,3.885801512027683,0.02,3431377.976803894,637416.5523285456,118365.28224429976
2,2,80,71.80000305175781,1.0,0.0,1.0,5.569757166767886e-05,0.8423658788451576,0.0125,2928906.001304935,563669.8186482638,108478.3071768809
2,1,100,90.75,1.0,0.0,1.0,5.173272036529397e-05,1.0240972638130188,0.01,4641684.8020755835,796042.9230497784,136520.23501574402
2,0,110,100.20001220703124,1.0,0.0,1.0,5.083745139700113e-05,1.0143313407897951,0.00909090909090909,7772269.841872092,1171714.1944840979,176642.56111987575
3,4,50,-302.6000061035156,4.0,0.0,4.0,2.9026057745795697e-05,1.005401611328125,0.08,1989711.9601528514,424464.81258052215,90496.20210991724
3,3,50,49.45000076293945,1.0,0.0,1.0,1.3631093565891204e-05,3.886195399289136,0.02,2348903.214001453,479623.3451082822,97902.70535350782
3,2,80,71.25,1.0,0.0,1.0,5.540720945873545e-05,0.8473700661706971,0.0125,2928887.4719033386,563665.490230723,108477.47417253676
3,1,100,89.94999694824219,1.0,0.0,1.0,5.289069190439477e-05,1.0113257765769958,0.01,4641691.877736817,796044.1189264292,136520.44010689764
3,0,110,100.0,1.0,0.0,1.0,3.7623753314619535e-05,1.0127612352371216,0.00909090909090909,8494937.343028149,1252510.6720666278,184672.62359438848
