path_num,points,times,Energy
1,"5,4,1;-5,5,1;-3,5,1;0,-5,1;-1,3,1;0,4,1;-1,-5,1;1,-3,1;-2,0,1;-1,1,1;1,1,1","40,65,49,68,74,43,73,74,55,66,50",28860468
2,"1,1,1;1,1,1;1,-2,1;2,0,1;-2,0,1;-1,1,1;-1,1,1;-1,-3,1;0,-1,1;2,0,1;3,0,1","79,68,48,49,50,76,68,63,53,52,54",33466
3,"3,0,1;-3,-2,1;2,0,1;4,-2,1;-5,0,1;3,2,1;-3,4,1;-2,-4,1;0,3,1;1,-3,1;-1,-2,1","40,53,78,46,74,74,53,67,70,53,75",11502793
4,"-1,-2,1;0,-1,1;0,1,1;1,1,1;3,2,1;-4,4,1;-2,5,1;1,5,1;-2,-5,1;0,-2,1","56,55,74,59,61,72,61,79,72,76",2754525
5,"0,-2,1;-1,0,1;0,-2,1;-2,0,1;0,-1,1;2,0,1;4,-2,1;5,0,1;-5,-2,1;2,1,1;3,3,1;-3,5,1","57,69,50,64,61,41,76,52,43,48,66,59",5612406
6,"-3,5,1;-2,-5,1;0,4,1;0,5,1;2,-5,1;3,3,1;-3,-4,1;0,-2,1;1,1,1;3,1,1;5,-2,1","44,64,58,62,70,64,74,43,71,44,75",319708
7,"5,-2,1;5,0,1;-5,0,1;-4,0,1;-1,-2,1;0,0,1;1,1,1;1,3,1;3,5,1;3,5,1;-5,-5,1","71,58,61,78,48,67,56,62,52,67,47",3022142
8,"-5,-5,1;3,2,1;4,3,1;5,4,1;5,-4,1;-5,1,1;-4,-2,1;1,0,1;-1,-1,1;1,-1,1;3,0,1;5,1,1","47,66,57,49,51,49,46,72,76,63,65,52",3344076
9,"5,1,1;5,-3,1;5,2,1;-5,-2,1;2,0,1;-4,0,1;-2,-1,1;0,0,1;0,2,1;1,3,1;1,3,1","43,42,48,77,72,71,63,78,69,59,62",1531600
10,"1,3,1;3,4,1;4,-5,1;-4,-3,1;-3,0,1;0,-1,1;0,0,1;-2,0,1;0,-2,1;2,-1,1;-3,-1,1","76,52,56,57,43,64,68,59,71,54,57",2057675
11,"-3,-1,1;0,0,1;1,-1,1;2,0,1;4,-2,1;4,-1,1;-4,0,1;-3,1,1;-1,3,1;0,5,1;-2,-5,1","51,69,53,73,45,60,43,44,57,68,72",115406891
12,"-2,-5,1;1,2,1;1,2,1;3,2,1;-5,-2,1;-3,0,1;0,1,1;-1,-2,1;-1,0,1;1,1,1;-2,-2,1;0,0,1","79,43,51,48,73,57,53,54,61,58,47,69",0
13,"0,0,1;0,1,1;1,-1,1;3,0,1;-5,2,1;-3,-3,1;-2,1,1;0,-3,1;0,1,1;2,-2,1;-3,0,1;-2,0,1","56,48,64,44,62,63,76,76,40,49,42,52",296988
