path_num,points,times,Energy
1,"5,4,1;5,-4,1;5,3,1;-5,-3,1;-4,-2,1;3,-1,1;3,0,1;-3,0,1","89,60,77,71,101,71,97,102",14630865
2,"-3,0,1;-1,0,1;0,-2,1;1,0,1;1,-2,1;-1,0,1;0,2,1","93,74,106,97,95,81,103",5598
3,"0,2,1;1,-4,1;-2,-3,1;-1,-1,1;0,1,1;1,-1,1;-2,0,1","50,111,92,76,112,107,70",3464
4,"-2,0,1;0,-2,1;1,0,1;-3,2,1;0,3,1;0,-3,1;-2,0,1;0,-2,1","82,74,87,90,51,105,82,111",9673362
5,"0,-2,1;-1,0,1;0,0,1;2,1,1;-4,3,1;-3,-3,1;0,0,1","114,105,111,80,95,82,90",5778314
6,"0,0,1;-2,-1,1;0,0,1;2,1,1;-2,3,1;-1,-4,1;0,2,1;0,4,1","104,72,116,101,78,68,105,51",122331380
7,"0,4,1;-2,-4,1;1,-2,1;1,0,1;3,2,1;4,-3,1;5,2,1","95,60,80,94,99,95,83",0
8,"5,2,1;5,-2,1;5,0,1;5,2,1;-5,3,1;3,-4,1;4,3,1;5,-3,1;-5,1,1","94,56,65,62,109,51,82,109,71",128058
9,"-5,1,1;-4,3,1;2,-5,1;4,-3,1;-4,0,1;3,-2,1;4,0,1;4,0,1","82,51,101,117,116,68,57,69",209062224
10,"4,0,1;4,1,1;-5,2,1;-4,-3,1;-2,0,1;0,2,1;2,-4,1;-2,-1,1","65,100,59,110,101,106,77,63",157088
11,"-2,-1,1;1,0,1;-1,0,1;1,1,1;-1,3,1;1,-4,1;2,2,1;-4,2,1","61,65,71,67,103,55,73,114",4009716
12,"-4,2,1;3,4,1;4,-5,1;5,-3,1;5,0,1;5,2,1;5,4,1;5,4,1","60,60,76,113,93,97,97,58",157872440
13,"5,4,1;-5,-5,1;-2,-3,1;0,1,1;-1,3,1;0,3,1;-2,5,1","81,94,117,88,89,93,88",2721867
14,"-2,5,1;1,5,1;-3,5,1;2,5,1;4,5,1;-4,5,1;3,-5,1;5,2,1;5,-3,1","63,59,111,63,59,53,62,55,95",234286041
15,"5,-3,1;5,-1,1;-5,1,1;-2,1,1;-1,-2,1;1,0,1;2,-2,1;4,0,1","91,103,83,50,81,79,101,69",63948254
16,"4,0,1;5,-1,1;5,1,1;-5,3,1;-4,5,1;-2,5,1;0,5,1;1,-5,1;1,4,1","72,102,57,69,52,92,75,70,83",17992578
17,"1,4,1;2,-4,1;-2,3,1;1,-3,1;-2,-2,1;0,0,1;2,2,1;4,2,1;5,4,1","66,68,63,63,105,68,83,87,90",238162888
18,"5,4,1;5,-5,1;5,4,1;5,-4,1;5,-3,1;-5,1,1;3,-1,1;-5,1,1;2,2,1","55,75,108,56,66,69,112,71,71",174533586
19,"2,2,1;-3,2,1;1,2,1;-2,2,1;0,3,1;1,3,1;3,3,1;4,5,1","93,53,64,97,101,62,95,71",4608562
20,"4,5,1;5,-5,1;5,-4,1;5,1,1;-5,1,1;4,3,1;-5,-5,1;2,2,1;-4,-2,1","53,86,77,52,81,77,75,79,99",302539242
21,"-4,-2,1;2,0,1;-4,-1,1;3,-1,1;-3,0,1;-1,2,1;0,-2,1;0,-1,1","76,86,103,117,106,75,56,51",6754094
22,"0,-1,1;0,0,1;1,1,1;3,-2,1;-4,0,1;-1,0,1;0,-2,1;-2,0,1","50,66,78,86,109,119,96,58",5949136
23,"-2,0,1;0,-1,1;0,0,1;2,0,1;4,2,1;4,4,1","117,82,104,102,118,66",2738434
24,"4,4,1;-5,5,1;4,5,1;5,5,1;5,-5,1;-5,-4,1;3,-1,1;-5,0,1;2,-2,1","63,67,50,56,50,75,111,74,61",49935000
25,"2,-2,1;3,1,1;4,3,1;4,-4,1;5,-3,1;-5,2,1;3,4,1;-4,4,1;2,-4,1","103,80,86,73,50,73,54,78,98",163535770
26,"2,-4,1;-2,1,1;1,-3,1;2,1,1;-3,1,1;-1,3,1;0,3,1","107,82,50,101,72,105,91",226900
27,"0,3,1;1,-4,1;-2,3,1;0,-3,1;0,1,1;-2,-2,1;0,1,1;-1,-3,1","102,76,113,76,50,73,61,103",8345454
28,"-1,-3,1;0,2,1;0,-4,1;-1,-2,1;0,0,1;-1,-2,1;1,0,1","85,114,85,90,60,86,89",356743
29,"1,0,1;3,1,1;-3,2,1;2,-4,1;2,2,1;3,3,1;-5,3,1;-3,4,1","103,96,87,101,70,54,58,76",44908294
30,"-3,4,1;1,4,1;-1,5,1;-1,5,1;0,5,1;0,-5,1;-1,-3,1;1,2,1","119,81,111,51,89,74,70,53",2186918
31,"1,2,1;2,3,1;-2,-4,1;0,1,1;2,-3,1;-2,-1,1;-1,0,1","110,115,100,116,71,65,83",7117690
32,"-1,0,1;-1,-1,1;0,0,1;2,0,1;4,0,1;5,-1,1;-5,0,1;-2,-2,1","87,78,111,65,74,52,109,101",6046940
33,"-2,-2,1;0,0,1;0,1,1;-2,-1,1;1,-1,1;-2,0,1;-1,2,1;0,-2,1","111,64,112,109,52,81,62,80",3069278
34,"0,-2,1;-1,1,1;1,1,1;-2,-2,1;0,0,1;0,-1,1;1,0,1;2,1,1","71,116,70,94,53,57,114,57",466235
35,"2,1,1;-3,1,1;-2,-1,1;-1,0,1;0,2,1;1,4,1;2,-5,1;-3,3,1","97,52,80,55,106,59,70,100",39799534
36,"-3,3,1;0,3,1;0,-3,1;-2,0,1;0,0,1;1,1,1;2,-1,1;2,0,1","70,92,70,69,64,86,117,96",49238
37,"2,0,1;-3,0,1;2,-2,1;2,1,1;2,-2,1;-2,0,1;0,1,1;2,-1,1;3,1,1","104,59,53,71,81,119,76,58,70",13320814
38,"3,1,1;-4,-2,1;2,0,1;4,0,1;-5,1,1;-4,2,1;-2,3,1","81,114,114,90,65,118,79",1906183
39,"-2,3,1;0,3,1;-1,3,1;-1,3,1;0,4,1;0,-5,1;-2,-2,1","51,62,90,111,113,113,96",49031
