path_num,points,times,Energy,total_dist,Total_time,avg_path_vel
1,"5,4,1;5,-4,1;5,3,1;-5,-3,1;-4,-2,1;3,-1,1;3,0,1;-3,0,1","89,60,77,71,101,71,97,102",1387320109.575292,48.550309401362014,668,0.07268010389425451
2,"-3,0,1;-1,0,1;0,-2,1;1,0,1;1,-2,1;-1,0,1;0,2,1","93,74,106,97,95,81,103",282426312.9952349,16.536631057245557,649,0.025480171120563264
3,"0,2,1;1,-4,1;-2,-3,1;-1,-1,1;0,1,1;1,-1,1;-2,0,1","50,111,92,76,112,107,70",712860452.3928043,21.115521783134348,618,0.034167510975945545
4,"-2,0,1;0,-2,1;1,0,1;-3,2,1;0,3,1;0,-3,1;-2,0,1;0,-2,1","82,74,87,90,51,105,82,111",5359690434.069051,27.13288711762412,682,0.039784291961325685
5,"0,-2,1;-1,0,1;0,0,1;2,1,1;-4,3,1;-3,-3,1;0,0,1","114,105,111,80,95,82,90",839147837.2081155,24.122094492753842,677,0.035630863357095775
6,"0,0,1;-2,-1,1;0,0,1;2,1,1;-2,3,1;-1,-4,1;0,2,1;0,4,1","104,72,116,101,78,68,105,51",3808515673.0884724,26.334170229662643,695,0.03789089241678078
7,"0,4,1;-2,-4,1;1,-2,1;1,0,1;3,2,1;4,-3,1;5,2,1","95,60,80,94,99,95,83",111420178.30829775,30.878228678631075,606,0.050954172737014976
8,"5,2,1;5,-2,1;5,0,1;5,2,1;-5,3,1;3,-4,1;4,3,1;5,-3,1;-5,1,1","94,56,65,62,109,51,82,109,71",3705541316.772993,57.98934619742275,699,0.08296043805067632
9,"-5,1,1;-4,3,1;2,-5,1;4,-3,1;-4,0,1;3,-2,1;4,0,1;4,0,1","82,51,101,117,116,68,57,69",7030727532.857701,38.2236962279366,661,0.057827074474941904
10,"4,0,1;4,1,1;-5,2,1;-4,-3,1;-2,0,1;0,2,1;2,-4,1;-2,-1,1","65,100,59,110,101,106,77,63",3282811905.041149,36.91293837227714,681,0.054204021104665406
11,"-2,-1,1;1,0,1;-1,0,1;1,1,1;-1,3,1;1,-4,1;2,2,1;-4,2,1","61,65,71,67,103,55,73,114",3675045952.617488,31.825713159492885,609,0.05225897070524283
12,"-4,2,1;3,4,1;4,-5,1;5,-3,1;5,0,1;5,2,1;5,4,1;5,4,1","60,60,76,113,93,97,97,58",1882610646.1019382,30.043698959917304,654,0.04593837761455245
13,"5,4,1;-5,-5,1;-2,-3,1;0,1,1;-1,3,1;0,3,1;-2,5,1","81,94,117,88,89,93,88",1763476657.1825583,33.998930617216104,650,0.052306047103409394
14,"-2,5,1;1,5,1;-3,5,1;2,5,1;4,5,1;-4,5,1;3,-5,1;5,2,1;5,-3,1","63,59,111,63,59,53,62,55,95",15465106998.989044,51.871830312148724,620,0.08366424243894956
