path_num,teo_path_dist,teo_path_Xdist,teo_path_Ydist,teo_path_time,avg_path_vel,energy
1,26.870057685088806,19.0,19.0,592,0.0453886109545419,31306233.855875313
2,50.55919164105255,23.0,39.0,641,0.07887549397980118,37105172.020797335
3,43.503009143291415,26.0,23.0,642,0.06776169648487759,28846165.726670932
4,28.284271247461902,20.0,20.0,661,0.042790122915978675,7155204.831501398
5,10.04987562112089,10.0,1.0,551,0.01823933869531922,7351913.910605677
6,22.31526010525133,5.0,21.0,614,0.036344071832656887,23603041.630976584
7,10.721349351738361,4.0,9.0,573,0.018710906373016336,13869254.286916113
8,14.317821063276353,6.0,13.0,529,0.02706582431621239,3539993.9460561536
9,47.2842712474619,20.0,39.0,613,0.07713584216551697,12967177.085748129
10,32.9799461741333,22.0,23.0,568,0.058063285517840325,15248642.183084145
11,28.284271247461902,20.0,20.0,512,0.05524271728019903,7258254.150488256
12,35.75678010075609,21.0,23.0,543,0.06585042375829851,12806458.00647473
13,22.0297416904614,20.0,9.0,675,0.03263665435623911,10260946.890860407
14,35.976536199691914,20.0,29.0,593,0.060668695109092605,8425576.329007361
15,46.7898810146689,20.0,42.0,583,0.08025708578845438,13540896.17861868
16,26.42366963287169,23.0,11.0,684,0.038631095954490775,13980238.389706433
17,28.7823028949679,24.0,12.0,543,0.05300608267949889,11395547.70217546
18,19.88131748777213,18.0,6.0,533,0.037300783279122195,11740329.385808501
19,34.97972485296695,20.0,22.0,566,0.061801634015842676,13447997.209277183
20,30.30373695388088,28.0,9.0,508,0.05965302549976551,10533299.371586457
21,45.10385232709085,33.0,16.0,691,0.06527330293356129,16580815.583764678
22,40.69384144025329,30.0,27.0,636,0.0639840274217819,11908769.6587063
23,58.225255303313965,35.0,45.0,650,0.08957731585125225,13650745.565850664
24,25.534170536223556,19.0,17.0,589,0.043351732659123184,24417158.832270943
25,53.55919164105255,26.0,39.0,655,0.08176975823061458,13260185.140472764
26,42.53799808526463,23.0,30.0,575,0.07397912710480806,11656929.470188033
27,47.2842712474619,20.0,39.0,675,0.07005077221846208,12256974.45813523
28,41.65731501172298,32.0,25.0,595,0.07001229413734954,11171538.95053636
29,33.57203325721259,23.0,23.0,602,0.055767497105004296,12186827.059050305
30,40.64882450646121,28.0,20.0,578,0.07032668599733774,13073069.608652748
31,1.4142135623730951,1.0,1.0,696,0.002031916037892378,3658876.7279316215
32,43.49967699653219,20.0,37.0,632,0.06882860284261422,7615243.590709228
33,15.620499351813308,10.0,12.0,534,0.029251871445343275,4001572.1348969215
34,17.029386365926403,13.0,11.0,585,0.02911006216397676,4933354.085679073
35,68.59691997891686,50.0,43.0,592,0.11587317564006226,12465317.552258141
36,64.29942644096631,50.0,28.0,632,0.10173959879899733,10628706.25241092
37,37.935007207269024,26.0,23.0,662,0.05730363626475683,15208663.652679285
38,37.89024906510425,25.0,26.0,699,0.05420636490000608,16314435.316100579
39,37.0179439165756,28.0,20.0,612,0.0604868364649928,17333160.762625284
40,48.38260703203379,16.0,44.0,678,0.07136077733338317,9693029.999302354
41,41.937899747016964,27.0,20.0,520,0.08064980720580185,11508822.641132087
42,19.1049731745428,13.0,14.0,599,0.031894779924111515,2775195.214734655
43,31.481380424393656,11.0,27.0,682,0.04616038185394964,9011402.901324166
44,50.976140475916594,32.0,35.0,520,0.09803103937676268,10456425.757802159
45,36.60088941190087,35.0,9.0,554,0.06606658738610266,13310865.160307392
46,50.80693595805511,34.0,36.0,691,0.07352668011295964,14238380.286606826
47,22.893012206204872,20.0,7.0,492,0.046530512614237546,13284016.489401732
48,51.08829419356182,39.0,33.0,636,0.08032750659365066,13794700.518518155
49,53.18451626790662,40.0,23.0,646,0.08232897255093904,12225445.453888401
50,27.58787574697679,20.0,19.0,504,0.054737848704319025,6424181.937861618
51,31.368711962473245,20.0,20.0,644,0.04870918006595224,14380232.023945753
52,35.6571227068806,20.0,23.0,548,0.0650677421658405,11276619.232853783
53,37.64386642979725,20.0,30.0,594,0.06337351250807617,13458279.16759558
54,41.9688387062202,36.0,16.0,643,0.06527035568619004,10043383.524514522
55,55.527280686454425,39.0,39.0,582,0.09540769877397667,12513138.86599247
56,41.0297416904614,28.0,20.0,507,0.08092651220998304,9771314.020917235
57,28.284271247461902,20.0,20.0,561,0.05041759580652745,6326440.82301598
58,60.21350787453496,36.0,47.0,690,0.08726595344135502,12267024.941313228
59,36.65068000755363,31.0,19.0,497,0.07374382295282421,9466152.500335712
60,33.306451873536815,29.0,14.0,569,0.05853506480410688,9984620.891798
