path_num,teo_path_dist,teo_path_Xdist,teo_path_Ydist,teo_path_time,avg_path_vel
1,38.718833483155926,-2,-2,663,0.05839944718424725
2,43.488681376637764,-1,1,660,0.06589194147975419
3,40.47094549832332,1,2,642,0.06303885591639145
4,43.813403118085745,-2,2,677,0.06471699131179579
5,35.17290721082494,2,-1,652,0.05394617670371923
6,39.948328751036215,-1,-2,671,0.05953551229662625
7,35.32792403062862,-1,0,686,0.0514984315315286
8,25.865083290714477,2,-2,647,0.03997694480790491
9,43.36427621602316,0,1,650,0.06671427110157409
10,39.8716872924413,1,1,661,0.06032025308992633
11,42.551845651779466,0,-2,682,0.06239273555979394
12,37.643538268536545,0,1,644,0.05845269917474619
13,29.91284699273416,1,-1,669,0.04471277577389261
14,33.638423747226426,0,1,646,0.05207186338579942
15,33.091856053128836,-2,-2,659,0.050215259564687156
16,39.813893535612394,-2,1,682,0.05837814301409442
17,30.298047211163336,-2,2,686,0.0441662495789553
18,36.46234382918118,1,1,664,0.05491316841744154
19,37.96167188349376,2,2,654,0.05804536985243694
20,37.99715364179582,1,-2,694,0.05475094184696804
21,36.57632066082463,2,1,691,0.05293244668715576
22,33.674103218747035,0,1,686,0.04908761402149714
23,36.71713087264942,1,2,649,0.05657493200716398
24,38.0062044346841,1,-2,662,0.05741118494665272
25,40.52700535253838,-2,2,671,0.06039792153880534
26,34.141859492160286,2,2,678,0.05035672491469069
27,35.994073495206436,0,0,689,0.052241035551823564
28,38.44547142638811,0,1,685,0.056124775804946146
29,37.71327525329775,1,2,662,0.05696869373609932
30,34.49595763387373,1,1,659,0.0523459144671832
31,27.006044506779205,1,-2,661,0.040856345698606966
32,38.13052225328164,0,0,648,0.05884339853901488
33,35.96488480648634,2,2,662,0.05432762055360474
34,35.71952161390112,-1,2,679,0.05260607012356572
35,36.75446624569794,-1,0,654,0.05619948967232101
36,34.888371983689,0,-2,662,0.05270146825330664
37,44.269344799364276,2,-2,685,0.06462678072899894
38,37.279654494211016,2,0,657,0.0567422442834262
39,37.20935673990972,2,-2,671,0.05545358679569258
40,35.53610285440527,1,-1,652,0.0545032252368179
41,30.337172536735455,0,1,694,0.0437135050961606
42,37.364244923915834,1,-1,699,0.05345385539902122
43,35.32812174384716,-1,1,681,0.051876830754547965
44,34.65011097815604,-2,-1,666,0.052027193660894956
45,43.304651212890164,1,-2,687,0.06303442680187797
46,38.26090413613525,2,2,676,0.05659897061558469
47,35.689971143451956,1,1,683,0.05225471616903654
48,37.3240584096038,0,1,645,0.05786675722419194
49,36.054671684320255,-1,2,692,0.05210212671144546
50,29.20225231898308,2,-2,671,0.04352049525928924
51,39.48028742238734,-2,-1,684,0.05771971845378266
52,29.337219245714056,0,-1,667,0.043983836950096035
53,33.275757581078864,1,-2,674,0.04937056020931582
54,37.881111143324304,0,0,686,0.055220278634583536
55,33.37942471787556,-1,0,686,0.04865805352459994
56,30.624787910460782,0,1,670,0.04570863867232953
57,42.686280867203294,0,2,678,0.0629591163233087
58,31.482765505656136,-2,0,673,0.04677974072162873
59,34.90408890415398,-2,1,665,0.05248735173556989
60,34.40507827519257,-2,2,683,0.05037346746001841
61,34.535082959445845,0,1,681,0.050712309778921945
62,37.6731300327662,-1,1,699,0.0538957511198372
63,37.83841525363615,-1,-2,685,0.05523856241406737
