1|0,-1,1;1,0,1;-1,0,1;0,0,1;0,2,1;-2,2,1;0,-4,1;1,1,1;-2,-1,1;-1,0,1;-1,2,1|49,37,38,46,34,38,40,40,36,46,47
2|5,4,1;-5,-4,1;4,-3,1;5,2,1;-5,-4,1;-3,3,1;0,-4,1;0,-2,1;-2,0,1;0,0,1;-2,2,1;0,-3,1;0,-1,1|50,62,61,100,85,70,83,80,71,67,70,67,83
3|-1,2,1;-1,-2,1;0,1,1;2,3,1;3,-4,1;3,1,1;-4,3,1;3,-4,1;4,3,1;5,-4,1;5,-3,1;5,-1,1;5,0,1|35,46,33,49,41,38,34,40,41,32,40,29,38
4|5,0,1;-5,1,1;3,-3,1;5,1,1;5,-2,1;-5,0,1;4,-1,1;-4,0,1;1,0,1;2,0,1;-3,2,1;2,-4,1;3,1,1;-3,2,1|38,37,31,31,33,31,49,31,33,36,31,35,38,33
5|-3,2,1;0,3,1;-1,5,1;0,-5,1;0,3,1;1,3,1;-2,5,1;0,5,1;1,-5,1;3,2,1;-5,-3,1;-4,-1,1;-2,-1,1;0,0,1|48,38,44,37,34,32,31,38,34,34,37,30,38,42
6|0,0,1;-1,-2,1;0,0,1;-2,-2,1;1,0,1;-2,0,1;1,-2,1;3,0,1;5,0,1;5,0,1;5,0,1;5,-1,1|36,40,36,30,44,30,40,40,35,42,36,35
7|5,-1,1;5,1,1;-5,-3,1;-4,2,1;-1,3,1;-1,-4,1;0,-1,1;1,0,1;-2,0,1;0,0,1;-2,-1,1;0,-1,1;0,-1,1|41,37,33,35,36,46,31,37,49,31,34,36,40
8|0,-1,1;2,0,1;4,2,1;-5,2,1;4,4,1;5,5,1;-5,-5,1;4,-3,1;-5,-2,1;-4,1,1;-3,-3,1;0,-2,1;0,1,1|38,40,36,34,32,29,32,30,45,32,44,39,32
9|0,1,1;2,-2,1;-2,0,1;0,1,1;0,-1,1;0,0,1;1,-2,1;2,0,1;-3,0,1;0,-1,1;1,0,1;-2,0,1;0,2,1|40,29,31,38,43,34,34,47,39,30,33,44,34
10|0,2,1;1,-2,1;3,0,1;4,1,1;5,3,1;-5,5,1;2,-5,1;4,-2,1;-5,0,1;3,-1,1;5,0,1;-5,0,1;-4,0,1|40,38,39,47,43,30,43,31,35,41,41,33,35
11|-4,0,1;3,-1,1;3,0,1;-5,1,1;4,-3,1;-5,1,1;2,3,1;-2,5,1;-1,5,1;0,-5,1;-2,-4,1;0,2,1;-1,-3,1|47,32,40,35,47,34,36,41,32,45,33,38,38
12|-1,-3,1;0,1,1;0,1,1;0,-3,1;-1,1,1;0,3,1;-1,3,1;1,3,1;-1,3,1;0,-5,1;0,-4,1;-1,-2,1;0,0,1|37,33,39,38,40,31,47,49,30,29,37,46,30
13|0,0,1;2,0,1;4,0,1;-5,0,1;4,-1,1;5,0,1;-5,1,1;-4,3,1;1,-5,1;1,-3,1;2,1,1;2,-1,1|34,39,35,47,31,42,35,45,40,36,44,47
14|2,-1,1;3,0,1;-4,2,1;-3,-4,1;-2,1,1;-1,3,1;1,4,1;3,5,1;-3,5,1;-1,5,1;1,-5,1;1,2,1|39,46,33,45,38,43,29,35,36,34,49,36
15|1,2,1;-3,-3,1;1,0,1;1,-2,1;3,0,1;-5,0,1;2,-2,1;4,-1,1;-5,1,1;4,1,1|46,44,42,48,47,48,46,36,29,30
16|4,1,1;5,1,1;5,-3,1;-5,0,1;-2,-2,1;0,1,1;-2,-2,1;-1,1,1;1,3,1;2,-5,1;2,-4,1;-2,3,1|36,32,42,35,30,48,29,32,46,43,37,37
17|-2,3,1;0,-5,1;2,-4,1;3,-1,1;4,-1,1;4,0,1;-5,-2,1;3,-1,1;-5,0,1;4,2,1;5,4,1;-5,-5,1;-2,-2,1|38,38,33,44,38,47,35,30,30,47,42,31,35
18|-2,-2,1;-1,-1,1;1,0,1;3,-1,1;-4,0,1;-1,1,1;1,-2,1;3,0,1;-4,0,1;1,0,1;2,-1,1;-2,-1,1|49,32,31,37,45,49,31,32,47,36,40,40
19|-2,-1,1;0,0,1;-1,0,1;0,2,1;0,-4,1;0,-2,1;-1,1,1;0,2,1;0,-3,1;-1,0,1;0,1,1;2,1,1|43,40,32,37,37,31,32,44,30,39,46,34
20|2,1,1;-3,2,1;2,-2,1;-3,0,1;0,0,1;-1,1,1;0,-1,1;2,-1,1;2,0,1;-4,-1,1;1,0,1;3,1,1|47,37,47,35,35,39,30,42,35,45,38,31
21|3,1,1;-4,-3,1;-2,-1,1;0,0,1;0,0,1;2,0,1;4,-2,1;-5,0,1;-2,-2,1;-1,0,1;-1,2,1;-1,-4,1;0,-2,1;1,0,1;-1,1,1|30,39,34,35,32,31,38,37,48,33,31,45,33,30,33
22|-1,1,1;0,1,1;0,-3,1;-2,0,1;-1,0,1;1,0,1;1,-1,1;-3,0,1;0,1,1;2,-3,1;-3,2,1;0,2,1;1,4,1|45,42,31,45,38,30,37,37,44,37,33,45,34
23|1,4,1;-2,-4,1;-1,-2,1;0,0,1;0,0,1;-1,-2,1;0,0,1;2,-1,1;-4,0,1;1,0,1;-2,0,1;0,-2,1;0,-1,1;0,-1,1|30,32,34,36,32,33,32,44,34,39,32,31,34,43
24|0,-1,1;1,0,1;3,1,1;4,3,1;-5,-4,1;-4,-2,1;-3,0,1;1,1,1;1,-3,1;-2,2,1;0,3,1;0,3,1|34,30,43,30,42,44,46,44,38,32,32,47
25|0,3,1;0,-3,1;2,-1,1;-4,1,1;-1,-1,1;1,0,1;1,0,1;-3,-1,1;-1,0,1;0,0,1;0,1,1;1,2,1|39,30,34,41,47,33,31,35,48,32,49,36
26|1,2,1;2,2,1;4,-4,1;5,3,1;-5,-4,1;3,2,1;3,4,1;5,-5,1;-5,4,1;3,-5,1;3,-3,1;5,-1,1|43,46,31,31,43,45,38,34,46,31,30,42
