path_num|points|times
144|20,11,1;11,20,1;20,9,1;20,1,1|224,162,123
145|20,1,1;20,2,1;19,1,1;1,12,1;9,20,1|178,142,142,167
146|9,20,1;1,1,1;20,9,1;10,19,1|122,177,218
147|10,19,1;9,20,1;1,20,1;1,1,1;12,20,1|212,129,183,140
148|12,20,1;20,17,1;20,20,1|244,246
149|20,20,1;9,1,1;16,8,1;16,1,1|144,161,203
150|16,1,1;20,12,1;20,20,1;1,1,1;1,2,1;5,6,1|186,107,109,117,166
151|5,6,1;5,1,1;1,5,1;4,5,1;1,8,1|233,173,110,106
152|1,8,1;8,1,1;11,20,1;1,19,1;2,20,1|123,108,132,249
153|2,20,1;1,19,1;19,1,1;1,8,1;11,20,1|104,158,159,179
154|11,20,1;1,10,1;12,20,1;20,20,1|245,147,194
155|20,20,1;19,10,1;19,20,1;10,20,1;18,12,1|223,204,100,130
156|18,12,1;18,20,1;20,18,1;20,20,1|165,246,180
157|20,20,1;1,12,1;20,9,1;10,19,1;4,13,1|172,134,138,142
158|4,13,1;4,1,1;1,1,1;10,3,1|231,172,236
159|10,3,1;1,12,1;20,1,1;2,12,1;10,20,1;10,12,1|107,118,220,124,115
160|10,12,1;10,20,1;20,20,1;1,1,1|206,111,232
161|1,1,1;12,20,1;20,20,1;13,13,1;13,19,1|232,108,213,106
162|13,19,1;12,20,1;20,20,1;20,19,1|151,244,239
163|20,19,1;20,20,1;1,9,1;9,1,1;13,12,1|130,229,111,176
164|13,12,1;20,5,1;1,16,1;1,20,1;4,17,1;4,20,1|112,162,117,180,109
165|4,20,1;1,17,1;6,1,1;2,8,1|154,229,215
166|2,8,1;1,9,1;20,12,1;9,19,1;17,11,1;18,12,1|111,110,177,186,112
167|18,12,1;17,2,1;20,13,1;19,2,1;20,1,1|235,110,132,195
168|20,1,1;1,4,1;1,20,1;8,13,1|191,160,241
169|8,13,1;8,20,1;8,1,1;1,8,1;7,14,1|170,113,217,155
170|7,14,1;7,20,1;1,20,1;6,15,1;1,15,1|192,148,175,130
171|1,15,1;20,12,1;12,20,1;2,10,1;20,3,1|206,110,210,134
172|20,3,1;9,20,1;1,20,1;12,10,1;3,19,1|243,115,130,193
173|3,19,1;1,19,1;19,1,1;20,12,1|163,242,218
174|20,12,1;20,11,1;11,20,1;1,20,1;8,2,1|216,190,172,112
175|8,2,1;1,9,1;1,1,1;4,4,1;7,1,1|129,231,178,139
176|7,1,1;1,7,1;1,1,1;6,1,1|187,233,166
177|6,1,1;1,12,1;1,20,1;20,12,1|203,142,224
178|20,12,1;1,20,1;9,1,1;19,1,1|234,151,114
179|19,1,1;8,20,1;1,20,1;7,14,1;9,1,1|151,174,216,110
180|9,1,1;1,9,1;20,12,1;10,2,1;3,9,1;3,8,1|144,125,108,150,151
181|3,8,1;2,20,1;1,19,1;2,18,1;1,18,1|108,248,202,128
182|1,18,1;1,20,1;9,1,1;13,19,1;12,19,1|184,160,177,115
183|12,19,1;20,8,1;20,1,1;3,7,1;3,1,1|127,162,106,191
184|3,1,1;1,1,1;9,20,1;9,13,1|219,200,214
185|9,13,1;2,20,1;1,19,1;2,19,1;1,20,1|192,141,128,151
186|1,20,1;20,1,1;13,12,1;20,19,1;19,20,1|199,123,173,154
187|19,20,1;8,1,1;1,8,1;7,14,1|170,247,143
188|7,14,1;1,14,1;14,1,1;20,1,1;20,20,1|140,205,157,101
189|20,20,1;12,1,1;1,20,1;1,11,1|211,179,172
190|1,11,1;1,1,1;20,1,1;2,5,1|195,235,190
191|2,5,1;1,4,1;1,1,1;20,4,1|210,234,198
192|20,4,1;17,1,1;20,1,1;1,9,1|166,157,227
193|1,9,1;20,20,1;20,19,1;11,10,1|226,243,196
194|11,10,1;20,19,1;1,16,1;1,20,1|231,167,196
195|1,20,1;20,12,1;17,20,1;13,20,1|112,244,206
196|13,20,1;20,16,1;14,16,1;16,14,1;16,13,1|174,111,171,144
197|16,13,1;16,1,1;1,1,1;4,20,1|238,158,237
198|4,20,1;1,20,1;9,1,1;1,4,1|229,206,105
199|1,4,1;15,1,1;1,1,1;7,7,1|238,193,116
200|7,7,1;13,1,1;20,8,1;10,20,1;20,20,1|115,127,175,147
201|20,20,1;20,1,1;19,11,1;1,11,1;9,3,1|191,131,132,110
202|9,3,1;7,1,1;1,7,1;20,18,1;18,20,1|190,221,136,108
203|18,20,1;20,20,1;20,1,1;1,12,1|214,246,228
204|1,12,1;12,2,1;13,1,1;20,8,1|242,247,109
205|20,8,1;20,1,1;1,1,1;20,12,1|242,229,166
206|20,12,1;12,20,1;20,1,1;1,1,1;9,20,1|102,157,117,102
207|9,20,1;12,1,1;20,1,1;20,8,1|247,101,243
208|20,8,1;20,1,1;1,1,1;9,20,1|242,167,245
209|9,20,1;1,9,1;10,20,1;1,11,1|214,234,104
210|1,11,1;11,1,1;19,20,1;1,13,1;1,12,1|178,204,204,107
211|1,12,1;2,11,1;11,20,1;1,20,1;1,13,1|110,100,193,185
212|1,13,1;2,1,1;20,12,1;12,20,1|226,223,181
213|12,20,1;20,12,1;1,1,1;1,20,1|207,221,140
214|1,20,1;12,1,1;20,1,1;13,8,1|187,202,233
215|13,8,1;3,20,1;20,15,1;20,20,1;15,20,1|167,147,159,144
216|15,20,1;20,15,1;17,1,1;20,1,1|126,226,182
217|20,1,1;1,1,1;19,12,1;9,2,1;10,1,1|181,207,101,184
218|10,1,1;1,1,1;20,20,1;10,9,1;3,2,1|156,245,158,107
219|3,2,1;1,4,1;12,20,1;8,13,1|176,213,155
220|8,13,1;1,20,1;9,1,1;1,1,1;4,4,1|226,177,128,150
221|4,4,1;1,4,1;9,1,1;9,11,1;11,11,1|141,113,117,242
222|11,11,1;1,11,1;11,1,1;11,10,1;2,1,1|148,236,118,185
223|2,1,1;1,1,1;20,20,1;9,13,1|244,232,123
224|9,13,1;1,2,1;8,20,1;20,20,1;14,14,1|249,135,116,162
225|14,14,1;12,1,1;6,12,1;5,13,1;1,9,1|200,123,137,147
226|1,9,1;1,10,1;10,1,1;1,1,1;5,12,1|144,131,167,240
227|5,12,1;8,20,1;20,19,1;10,9,1;9,9,1|165,138,193,111
228|9,9,1;20,1,1;13,8,1;6,1,1|249,124,238
229|6,1,1;14,20,1;7,9,1;7,12,1;13,18,1|118,150,224,154
230|13,18,1;20,18,1;18,20,1;18,19,1;17,20,1;16,19,1|147,115,197,140,100
231|16,19,1;16,1,1;20,5,1;17,8,1;17,3,1|232,168,117,176
232|17,3,1;20,3,1;9,20,1;18,7,1;20,7,1|166,107,214,143
233|20,7,1;1,10,1;1,1,1;20,1,1|113,235,168
234|20,1,1;1,9,1;1,10,1;5,14,1;17,2,1|247,147,128,172
235|17,2,1;20,2,1;19,1,1;20,1,1|229,167,225
236|20,1,1;19,1,1;19,11,1;10,2,1;18,2,1|138,217,113,105
237|18,2,1;14,20,1;20,20,1;1,20,1;15,12,1|121,108,217,200
238|15,12,1;4,20,1;1,20,1;20,1,1;1,1,1|230,159,123,167
239|1,1,1;20,1,1;1,20,1;1,13,1|113,211,151
240|1,13,1;20,10,1;20,1,1;2,12,1|243,229,136
241|2,12,1;1,13,1;1,20,1;20,20,1|202,235,200
242|20,20,1;12,1,1;1,20,1;19,20,1;20,19,1|102,196,248,141
243|20,19,1;20,20,1;12,1,1;12,8,1;19,1,1;13,1,1|184,171,113,102,111
244|13,1,1;20,1,1;1,20,1;1,1,1|244,122,171
245|1,1,1;20,1,1;9,20,1;16,2,1;11,8,1|143,195,122,180
246|11,8,1;20,8,1;9,20,1;10,20,1|214,133,240
247|10,20,1;20,20,1;1,17,1;8,17,1|214,162,238
248|8,17,1;1,10,1;1,1,1;20,9,1|245,170,164
249|20,9,1;20,1,1;1,1,1;8,8,1;1,8,1|201,119,123,105
250|1,8,1;1,1,1;4,20,1;15,1,1|188,234,131
251|15,1,1;20,17,1;20,20,1;15,14,1;1,3,1|173,125,118,212
252|1,3,1;6,20,1;1,4,1|236,241
253|1,4,1;6,20,1;1,20,1;1,16,1|204,176,161
254|1,16,1;5,1,1;13,15,1;12,15,1;4,1,1|129,106,220,187
255|4,1,1;1,4,1;12,20,1;20,12,1|183,206,229
256|20,12,1;20,20,1;1,12,1;1,20,1|241,230,147
257|1,20,1;9,1,1;10,1,1;2,9,1|211,116,166
258|2,9,1;20,13,1;7,13,1;1,7,1;1,1,1|191,121,178,202
259|1,1,1;9,20,1;20,1,1;2,1,1;3,2,1|132,124,210,104
260|3,2,1;3,1,1;1,3,1;1,1,1;2,1,1|128,161,209,130
261|2,1,1;20,1,1;9,20,1;16,2,1|182,140,241
262|16,2,1;6,1,1;20,4,1;1,4,1;4,1,1|106,144,215,163
263|4,1,1;4,20,1;1,17,1;1,1,1;7,7,1|183,159,128,133
