path_num|points|times
327|2,5,1;2,10,1;10,8,1;10,10,1;9,10,1;3,9,1;7,9,1;4,6,1;9,1,1|89,75,97,94,90,96,76,74
328|9,1,1;5,5,1;5,4,1;4,5,1;9,10,1;1,10,1;4,7,1;5,7,1;6,6,1|71,75,73,91,70,81,98,79
329|6,6,1;6,10,1;1,5,1;7,1,1;10,4,1;10,1,1;8,1,1;9,2,1;8,3,1|91,80,78,79,79,83,77,70
330|8,3,1;10,3,1;1,9,1;1,10,1;10,7,1;7,7,1;10,4,1;10,6,1;9,6,1|77,77,98,78,88,85,87,75
331|9,6,1;10,6,1;10,10,1;1,4,1;3,10,1;2,9,1;2,5,1;3,6,1|89,98,98,85,84,87,92
332|3,6,1;8,1,1;5,10,1;5,5,1;10,10,1;6,10,1;7,9,1;8,9,1;10,7,1|72,89,78,79,82,89,71,81
333|10,7,1;1,1,1;7,5,1;10,8,1;8,10,1;10,10,1;10,9,1;8,7,1;5,10,1|90,78,93,84,73,93,96,86
334|5,10,1;1,6,1;6,1,1;10,1,1;3,6,1;2,6,1;6,10,1;10,6,1;5,1,1|78,76,96,87,82,87,95,84
335|5,1,1;1,5,1;6,10,1;9,1,1;6,1,1;6,3,1;4,1,1;1,1,1|96,86,96,96,80,95,71
336|1,1,1;10,4,1;8,8,1;6,10,1;1,10,1;9,6,1;6,9,1;5,8,1;4,9,1|85,96,88,94,78,83,75,88
337|4,9,1;10,1,1;1,7,1;9,5,1;9,8,1;7,6,1;5,8,1;1,8,1;1,10,1|79,99,73,92,82,71,76,80
338|1,10,1;10,7,1;10,10,1;8,8,1;10,6,1;10,1,1;1,1,1;1,3,1;2,2,1|70,88,87,78,83,77,96,89
339|2,2,1;2,10,1;10,10,1;10,1,1;6,9,1;3,9,1;5,1,1;1,1,1;1,10,1|92,71,83,96,84,96,74,79
340|1,10,1;10,7,1;10,6,1;6,2,1;9,2,1;5,6,1;9,6,1;8,5,1;9,4,1|96,82,73,82,72,92,80,97
341|9,4,1;10,5,1;10,10,1;1,4,1;8,4,1;5,1,1;10,1,1;10,4,1|91,94,96,88,95,86,70
342|10,4,1;1,7,1;1,10,1;9,8,1;1,2,1;7,9,1;2,9,1;2,7,1;1,6,1|82,94,82,98,75,72,72,72
343|1,1,1;4,10,1;1,7,1;3,5,1;1,3,1;1,2,1;2,1,1;10,9,1;6,9,1|85,93,82,75,88,90,98,77
344|10,1,1;7,10,1;10,7,1;8,5,1;10,3,1;10,2,1;4,10,1;1,7,1|84,96,87,87,87,85,92
345|1,7,1;10,7,1;5,6,1;5,1,1;1,1,1;1,6,1;4,6,1;2,4,1;4,4,1|96,85,93,70,89,75,73,78
346|2,9,1;6,1,1;1,1,1;4,10,1;8,4,1;8,9,1;6,7,1;5,7,1;5,8,1|80,79,85,76,80,80,75,74
347|4,5,1;5,10,1;5,6,1;1,6,1;1,1,1;3,5,1;2,4,1;3,4,1;3,2,1|75,86,81,85,90,79,85,96
348|2,9,1;3,10,1;10,10,1;10,1,1;1,4,1;1,1,1;3,1,1;9,9,1|99,80,96,70,98,93,79
349|9,9,1;1,9,1;1,1,1;10,7,1;4,3,1;7,6,1;5,8,1;5,6,1;2,6,1|76,71,74,86,96,75,94,77
350|2,6,1;2,1,1;1,1,1;3,3,1;3,6,1;5,6,1;10,1,1;10,10,1;8,8,1|98,74,96,78,81,83,70,83
351|10,10,1;7,1,1;10,1,1;8,3,1;6,1,1;6,3,1;4,1,1;1,4,1;10,7,1|84,88,70,80,77,93,93,89
352|10,7,1;7,10,1;9,6,1;6,9,1;3,9,1;10,2,1;1,2,1;1,1,1;10,1,1|86,97,87,83,87,94,70,88
353|9,5,1;10,5,1;5,10,1;1,10,1;5,8,1;6,8,1;5,9,1;6,10,1|93,88,97,86,92,96,77
354|6,10,1;10,6,1;1,3,1;3,1,1;7,5,1;10,2,1;9,1,1;7,3,1;7,4,1|75,91,85,77,92,91,74,98
355|10,2,1;1,5,1;1,1,1;8,2,1;9,1,1;9,2,1;10,3,1;1,6,1;5,2,1|78,95,93,89,88,98,82,73
356|5,2,1;5,1,1;1,5,1;1,10,1;7,1,1;10,4,1;2,8,1;6,4,1;5,3,1|86,84,98,78,98,80,78,96
357|1,4,1;5,8,1;4,8,1;6,10,1;2,10,1;3,9,1;2,8,1;10,4,1;8,6,1|74,77,77,89,72,76,98,97
358|8,6,1;10,8,1;8,10,1;10,10,1;10,9,1;4,10,1;7,10,1;5,8,1;6,7,1|99,83,73,94,92,74,89,95
359|6,7,1;3,10,1;10,10,1;5,9,1;1,5,1;1,10,1;10,1,1;1,4,1;6,4,1|85,82,79,70,90,87,72,84
360|6,4,1;3,1,1;1,1,1;4,10,1;5,4,1;1,8,1;1,10,1;7,6,1;3,10,1|76,86,82,74,83,80,97,94
361|2,10,1;1,10,1;1,1,1;2,6,1;6,10,1;10,10,1;6,8,1;7,9,1;6,9,1|70,92,74,88,81,71,82,74
362|6,9,1;1,4,1;4,1,1;1,1,1;10,10,1;6,8,1;1,3,1;1,2,1|97,87,92,92,86,84,94
363|1,2,1;1,1,1;10,4,1;10,1,1;7,10,1;3,4,1;2,3,1;3,2,1;8,7,1|97,94,81,84,76,98,74,94
364|8,7,1;1,7,1;4,10,1;7,7,1;7,3,1;3,7,1;3,8,1;5,10,1;7,8,1|90,70,86,91,74,91,81,85
365|7,8,1;9,10,1;6,1,1;10,1,1;10,10,1;4,9,1;9,4,1;5,4,1;5,3,1|81,73,96,82,99,70,95,76
366|10,10,1;1,4,1;1,1,1;3,3,1;5,1,1;2,1,1;10,9,1;9,10,1|81,91,76,95,90,99,94
367|9,10,1;10,9,1;1,6,1;10,6,1;10,8,1;9,7,1;9,8,1;4,8,1;4,7,1|73,73,86,83,74,88,73,87
368|4,7,1;1,10,1;10,7,1;10,10,1;8,10,1;9,9,1;1,1,1;10,4,1;5,4,1|87,87,95,70,70,72,76,81
369|5,4,1;10,4,1;10,1,1;8,3,1;1,4,1;10,10,1;4,9,1;8,9,1;10,7,1|78,74,80,79,89,97,90,82
370|10,7,1;7,10,1;4,1,1;1,1,1;6,6,1;6,4,1;5,4,1;1,8,1|79,93,98,97,97,79,90
371|1,8,1;3,10,1;1,10,1;1,9,1;10,3,1;8,1,1;7,2,1;3,2,1|90,93,82,94,92,94,98
372|3,2,1;1,2,1;7,10,1;6,10,1;2,6,1;2,9,1;3,8,1;4,9,1;3,9,1|75,83,97,80,77,76,93,74
