path_num|points|times
1|10,10,1;19,1,1;1,6,1;1,1,1;|257,200,88
2|1,1,1;25,12,1;24,13,1;|255,261
3|,1,25,1;12,1,1;1,1,1;,3,25,1;25,16,1;|141,118,286,75
4|25,16,1;1,5,1;25,5,1;25,15,1;16,6,1;16,15,1;12,15,1;|177,92,85,93,104,70
5|12,15,1;1,4,1;14,25,1;,1,18,1;13,18,1;13,24,1;|165,102,80,157,129
6|13,24,1;,1,12,1;25,23,1;23,25,1;|209,289,110
7|23,25,1;,1,16,1;,1,25,1;,9,25,1;|123,109,228
8|,9,25,1;25,9,1;22,25,1;22,13,1;10,1,1;|175,55,272,87
9|10,1,1;,1,10,1;25,10,1;|237,233
10|25,10,1;12,1,1;20,9,1;25,4,1;25,1,1;13,1,1;|203,151,91,80,81
11|13,1,1;25,2,1;24,1,1;14,1,1;14,12,1;25,1,1;|188,68,109,84,119
12|25,1,1;,1,14,1;,1,25,1;11,15,1;25,15,1;|71,246,146,115
13|25,15,1;24,1,1;13,25,1;,1,25,1;|211,298,66
14|,1,25,1;25,1,1;25,25,1;,1,14,1;11,14,1;1,4,1;|177,66,78,286,71
15|1,4,1;,1,25,1;3,1,1;1,3,1;4,3,1;|97,111,184,224
16|4,3,1;1,3,1;3,1,1;25,10,1;25,25,1;|116,160,107,212
17|25,25,1;14,1,1;,3,25,1;,1,23,1;|233,185,213
18|,1,23,1;14,1,1;,9,14,1;9,7,1;12,10,1;|181,168,66,140
19|12,10,1;,1,21,1;,1,25,1;25,25,1;25,1,1;|184,94,208,105
20|25,1,1;12,25,1;,1,14,1;11,14,1;11,23,1;,3,15,1;|100,94,93,161,223
21|,3,15,1;1,4,1;11,14,1;15,14,1;4,3,1;|64,65,256,154
22|4,3,1;15,1,1;14,2,1;|263,269
23|1,1,1;,1,25,1;25,14,1;2,1,1;|236,82,270
24|2,1,1;1,1,1;25,14,1;|267,205
25|25,14,1;,1,12,1;,1,13,1;12,2,1;17,7,1;|296,78,130,98
26|17,7,1;17,1,1;17,25,1;14,2,1;|134,112,260
27|1,1,1;14,25,1;25,25,1;13,12,1;|157,167,299
28|13,12,1;25,24,1;11,25,1;22,1,1;1,9,1;10,18,1;|201,129,202,50,95
29|10,18,1;6,1,1;19,4,1;22,1,1;|184,252,206
30|22,1,1;25,14,1;23,12,1;25,10,1;|252,165,238
31|25,10,1;16,1,1;1,3,1;2,4,1;|136,295,241
32|2,4,1;2,1,1;25,14,1;12,10,1;20,2,1;|92,231,251,76
33|20,2,1;25,7,1;6,1,1;25,1,1;|261,243,105
34|25,1,1;1,3,1;3,1,1;3,4,1;|215,196,200
35|3,4,1;19,1,1;25,20,1;|231,198
36|25,20,1;12,25,1;21,21,1;13,21,1;13,24,1;|114,79,121,143
37|13,24,1;25,24,1;25,1,1;21,23,1;17,10,1;17,18,1;|141,110,72,125,195
38|17,18,1;1,5,1;16,18,1;4,6,1;|174,279,164
39|4,6,1;1,9,1;1,1,1;,3,25,1;,1,23,1;|106,212,90,271
40|,1,23,1;25,12,1;25,1,1;,1,12,1;11,22,1;|108,69,286,225
41|11,22,1;25,8,1;18,1,1;1,1,1;25,25,1;|148,182,56,298
42|25,25,1;25,1,1;12,25,1;24,13,1;|287,177,55
43|24,13,1;12,25,1;12,1,1;23,12,1;|134,68,276
44|23,12,1;,1,25,1;11,22,1;12,22,1;15,25,1;|144,64,260,107
45|15,25,1;15,1,1;13,25,1;14,24,1;|63,272,297
46|14,24,1;25,24,1;25,25,1;12,1,1;|237,158,228
47|12,1,1;25,25,1;,1,25,1;,1,24,1;12,13,1;,2,13,1;|135,115,79,89,214
48|,2,13,1;,1,14,1;14,13,1;25,24,1;|280,109,270
49|25,24,1;24,24,1;23,25,1;,1,21,1;|265,180,229
50|,1,21,1;,1,25,1;25,1,1;|278,240
51|25,1,1;24,1,1;25,2,1;25,25,1;24,13,1;|173,165,89,216
52|25,1,1;25,25,1;,1,25,1;14,24,1;|153,155,184
53|14,24,1;14,25,1;25,14,1;,1,14,1;12,25,1;|102,54,52,276
54|12,25,1;25,1,1;,1,25,1;|291,261
55|,1,25,1;12,1,1;,4,14,1;,1,17,1;|197,230,61
56|,1,17,1;,1,25,1;12,1,1;12,22,1;|291,251,132
57|12,22,1;22,25,1;20,23,1;23,23,1;25,25,1;25,23,1;|150,63,169,166,58
58|25,23,1;25,25,1;23,1,1;|251,239
59|23,1,1;25,3,1;25,1,1;24,1,1;|189,138,279
60|24,1,1;25,1,1;1,3,1;1,1,1;12,25,1;|154,145,74,253
61|12,25,1;,1,23,1;1,1,1;|238,281
62|1,1,1;,1,25,1;25,14,1;2,1,1;25,11,1;|153,174,109,216
63|25,11,1;15,1,1;25,24,1;25,12,1;|195,213,106
64|25,12,1;12,1,1;13,13,1;13,24,1;24,13,1;|193,279,61,123
65|24,13,1;25,14,1;23,25,1;25,25,1;25,15,1;20,20,1;|83,125,142,277,58
66|20,20,1;25,15,1;25,25,1;,1,25,1;12,1,1;1,1,1;|50,98,134,236,100
67|1,1,1;,3,25,1;3,4,1;1,6,1;|167,126,147
68|1,6,1;,7,25,1;,8,25,1;19,14,1;|166,194,263
69|19,14,1;25,14,1;24,13,1;24,2,1;|159,231,218
70|24,2,1;25,1,1;1,1,1;|201,274
71|1,1,1;2,2,1;,2,13,1;14,1,1;|156,172,286
72|14,1,1;13,2,1;2,2,1;,2,12,1;,2,14,1;,3,14,1;|102,75,128,251,135
73|,3,14,1;14,25,1;25,25,1;,1,23,1;,3,25,1;13,15,1;|274,202,76,52,84
74|13,15,1;,1,15,1;,1,25,1;10,16,1;19,25,1;,2,21,1;|183,84,94,87,203
75|,2,21,1;,2,25,1;,1,24,1;|291,249
76|,1,24,1;1,1,1;10,10,1;10,1,1;2,1,1;|249,65,226,113
77|2,1,1;13,25,1;25,13,1;13,1,1;|243,280,176
78|13,1,1;1,1,1;,3,25,1;,1,25,1;|180,158,122
79|,1,25,1;12,1,1;1,1,1;,1,11,1;|82,298,282
80|,1,11,1;11,1,1;22,25,1;25,22,1;20,22,1;|84,255,100,241
81|20,22,1;20,25,1;25,20,1;1,7,1;1,1,1;25,1,1;|65,64,128,163,259
82|25,1,1;24,1,1;24,12,1;14,2,1;|296,109,229
83|14,2,1;11,25,1;,1,25,1;,5,21,1;,6,21,1;|86,210,276,116
84|,6,21,1;25,15,1;17,20,1;19,20,1;24,25,1;|212,52,176,100
85|24,25,1;11,1,1;1,1,1;10,10,1;|119,158,295
86|10,10,1;25,21,1;19,1,1;,6,25,1;,1,25,1;|68,76,240,297
87|,1,25,1;25,14,1;12,2,1;17,7,1;13,11,1;|226,121,157,99
