path_num|points|times
1|6,6,1;6,12,1;12,12,1;1,9,1;5,6,1;1,10,1|248,52,98,61,211
2|1,10,1;1,12,1;8,1,1|256,247
3|8,1,1;12,12,1;12,1,1;9,1,1;11,8,1|241,270,110,56
4|11,8,1;12,8,1;8,12,1;12,12,1|258,205,171
5|12,12,1;1,8,1;8,7,1;3,2,1|214,180,269
6|3,2,1;3,1,1;1,1,1;1,12,1;12,12,1;5,11,1|157,161,125,143,50
7|5,11,1;1,4,1;7,10,1;11,6,1|150,58,248
8|11,6,1;11,1,1;12,2,1;9,12,1|177,114,181
9|9,12,1;1,6,1;7,12,1;1,12,1|171,262,239
10|1,12,1;12,1,1;5,7,1;1,7,1|81,262,212
11|1,7,1;7,1,1;1,1,1;1,6,1|255,128,246
12|1,6,1;12,2,1;11,1,1;4,5,1|261,277,142
13|4,5,1;1,9,1;7,9,1;1,3,1|110,200,171
14|1,3,1;1,1,1;2,1,1;7,6,1|65,253,276
15|7,6,1;12,6,1;7,1,1;1,1,1|279,261,141
16|1,1,1;2,1,1;2,7,1;7,2,1|229,114,229
17|7,2,1;1,2,1;8,12,1|294,297
18|8,12,1;7,12,1;5,10,1;4,11,1;5,11,1;1,7,1|166,142,80,138,104
19|1,7,1;1,12,1;12,8,1;1,5,1;8,11,1;11,8,1|110,132,128,112,99
20|11,8,1;12,7,1;1,11,1;8,8,1|206,181,290
21|8,8,1;12,8,1;12,12,1;9,9,1|134,252,227
22|9,9,1;9,1,1;12,1,1|251,172
23|12,1,1;5,12,1;1,8,1;11,1,1;1,5,1|188,62,244,133
24|1,5,1;12,5,1;8,1,1;8,4,1;11,1,1;12,2,1|86,136,161,102,160
25|12,2,1;11,1,1;1,5,1;1,1,1|235,175,287
26|1,1,1;5,12,1;9,1,1;12,4,1|185,299,196
27|12,4,1;12,1,1;1,1,1;11,5,1;12,5,1;9,2,1|72,55,157,107,246
28|9,2,1;5,12,1;9,1,1;1,1,1|241,168,186
29|1,1,1;4,12,1;1,12,1;8,1,1|232,150,203
