path_num|points|times
79|1,5,1;3,5,1;4,5,1;-5,5,1;4,-5,1;4,-4,1;5,3,1;5,4,1;-5,-4,1;2,3,1;-4,3,1;-2,-3,1|56,58,63,44,53,47,53,49,78,53,68,55
80|-2,-3,1;1,0,1;1,1,1;-1,-1,1;1,1,1;-2,-3,1;1,-1,1;-1,0,1;0,2,1;1,4,1;3,-5,1;-4,4,1|60,58,73,46,40,63,55,74,47,68,42,44
81|-4,4,1;2,-5,1;2,4,1;-2,-4,1;0,-3,1;-2,1,1;0,-3,1;-1,0,1;0,-2,1;1,1,1|75,76,77,74,48,60,60,66,57,71
82|1,1,1;3,-3,1;-5,1,1;4,-2,1;-4,0,1;-1,-2,1;0,0,1;0,0,1;-1,0,1;0,1,1;0,-3,1;1,2,1;1,4,1|61,44,53,53,45,68,72,43,46,41,40,49,71
83|1,4,1;1,5,1;-1,5,1;-1,5,1;0,5,1;-2,5,1;0,5,1;0,-5,1;-1,-3,1;-1,0,1;0,-2,1;-2,0,1;0,0,1|64,49,40,53,44,44,42,56,78,45,56,79,41
84|0,0,1;1,2,1;3,-3,1;-4,-1,1;2,1,1;4,3,1;-5,4,1;2,5,1;-3,5,1;-1,-5,1;0,4,1;-1,-5,1|47,69,58,61,48,60,62,44,66,70,61,51
85|-1,-5,1;0,-3,1;-2,1,1;0,2,1;1,-3,1;2,-1,1;-2,-1,1;0,0,1;0,1,1;2,1,1;2,2,1;2,4,1|48,50,58,74,50,78,58,48,46,45,67,57
86|2,4,1;-4,4,1;2,-5,1;-2,2,1;0,4,1;2,-5,1;-4,2,1;-1,4,1;0,4,1;1,5,1|49,60,59,78,72,64,48,75,59,75
87|1,5,1;3,5,1;-5,-5,1;-4,2,1;2,-2,1;-2,0,1;0,-1,1;0,1,1;0,-2,1;-2,0,1;0,-2,1|55,44,72,75,57,75,75,59,53,54,44
88|0,-2,1;0,1,1;-1,-2,1;-1,0,1;0,0,1;1,0,1;3,-1,1;-5,1,1;-3,2,1;0,4,1;0,5,1;0,5,1|54,74,73,50,47,60,51,50,60,64,53,60
89|0,5,1;0,5,1;0,5,1;0,-5,1;0,-4,1;-2,3,1;0,3,1;1,-5,1;3,-2,1;-4,0,1;1,1,1;1,-3,1|49,51,51,76,60,47,66,61,44,52,55,71
90|1,-3,1;2,-1,1;2,1,1;4,-2,1;-5,1,1;4,-2,1;-5,0,1;-4,1,1;-3,-3,1;0,-1,1|77,69,62,70,78,47,67,48,74,46
91|0,-1,1;-2,1,1;0,-3,1;-1,-1,1;-1,-1,1;1,0,1;3,-1,1;-3,0,1;-1,2,1;0,-4,1;2,3,1;-4,5,1|46,47,58,54,44,51,68,50,42,79,67,40
92|-4,5,1;-1,-5,1;0,-2,1;-1,0,1;-1,0,1;1,0,1;3,-2,1;4,0,1;5,2,1;5,4,1;-5,-4,1;4,2,1|61,70,59,52,41,47,53,44,51,48,74,71
93|4,2,1;5,4,1;-5,5,1;2,-5,1;2,3,1;2,-5,1;4,3,1;-5,-3,1;4,0,1;-5,0,1;-4,1,1;-3,3,1|78,47,42,60,61,63,43,71,50,62,71,51
94|-3,3,1;1,-3,1;3,1,1;-5,2,1;4,2,1;5,3,1;5,-3,1;-5,0,1;-4,1,1;2,3,1;-2,3,1;-1,-4,1;0,-1,1|40,55,47,44,61,42,44,41,62,71,42,66,60
95|0,-1,1;-1,0,1;0,-2,1;2,0,1;4,1,1;5,-2,1;-5,0,1;-2,0,1;-1,-2,1;1,0,1;3,1,1|77,59,42,76,50,73,51,63,73,66,55
96|3,1,1;5,-3,1;-5,0,1;-3,0,1;0,2,1;1,-4,1;2,1,1;2,-1,1;-4,0,1;-1,0,1|53,67,44,79,48,48,77,72,75,69
97|-1,0,1;0,0,1;2,1,1;3,1,1;5,-1,1;-5,0,1;4,-1,1;4,0,1;-5,0,1;2,2,1;2,3,1|66,51,45,47,59,71,58,60,70,57,67
98|2,3,1;3,3,1;-4,-5,1;3,3,1;3,4,1;-5,5,1;2,-5,1;-3,-3,1;0,1,1;0,2,1;2,4,1|47,78,58,65,40,68,56,79,57,77,44
99|2,4,1;4,-4,1;-5,2,1;-4,2,1;-3,-3,1;-2,0,1;1,-2,1;3,0,1;-4,0,1;3,-2,1;4,-1,1|72,78,53,43,78,43,47,71,51,41,56
100|4,-1,1;-5,1,1;2,1,1;-2,-2,1;-1,1,1;0,-2,1;0,0,1;-2,-1,1;0,0,1;-1,1,1;-1,-3,1|78,63,58,40,46,67,46,60,68,73,65
