553|1,0,1;-1,2,1;0,-3,1;0,-2,1;-2,-1,1;0,-1,1;0,-1,1;0,1,1|55,58,86,89,113,54,94,72
554|0,1,1;0,-2,1;0,0,1;1,2,1;-2,3,1;0,-3,1;-2,-2,1;0,0,1;-1,-1,1|79,52,51,114,75,80,62,104,81
555|-1,-1,1;0,0,1;-2,1,1;0,-1,1;0,0,1;-1,0,1;1,2,1;3,-4,1|111,61,77,52,50,81,99,114
556|3,-4,1;3,2,1;5,2,1;-5,3,1;-3,-4,1;-2,3,1;0,-3,1|110,84,117,108,59,69,106
557|0,-3,1;1,1,1;-3,-1,1;-2,0,1;0,2,1;0,3,1;0,4,1|99,71,98,104,73,108,109
558|0,4,1;-2,5,1;0,5,1;0,-5,1;2,4,1;2,5,1;3,-5,1;-4,-2,1|103,57,88,111,71,91,70,67
559|-4,-2,1;-3,0,1;0,0,1;0,2,1;0,-3,1;-2,-1,1;-1,0,1|88,108,105,72,116,80,108
560|-1,0,1;0,-2,1;0,0,1;2,-1,1;2,1,1;3,-2,1;-5,0,1|119,63,81,83,74,105,118
561|-5,0,1;3,1,1;4,1,1;-5,3,1;3,-4,1;-4,-2,1;1,1,1|56,71,96,118,113,87,113
562|1,1,1;-1,1,1;0,-1,1;1,0,1;-2,-1,1;0,0,1;0,2,1;0,2,1|78,55,69,62,113,55,96,81
563|0,2,1;-2,-3,1;0,0,1;2,2,1;3,-3,1;-5,-1,1;4,0,1;5,2,1|105,85,95,72,53,93,50,101
564|5,2,1;5,2,1;5,-4,1;5,2,1;-5,-4,1;4,-3,1;4,-2,1;-4,-1,1|63,81,76,90,72,97,79,75
565|-4,-1,1;1,-1,1;-1,0,1;0,0,1;-2,-1,1;-1,-1,1;-1,0,1|103,76,97,101,75,73,87
566|-1,0,1;0,0,1;0,-1,1;1,1,1;-1,2,1;0,-2,1;1,1,1;-2,-3,1|96,53,75,83,63,80,56,97
567|-2,-3,1;0,2,1;0,2,1;-2,2,1;-1,3,1;0,-5,1;0,2,1;1,-2,1|58,87,57,117,70,107,99,52
568|1,-2,1;1,0,1;3,1,1;-4,-1,1;3,-1,1;5,0,1;5,1,1;5,2,1|118,68,58,91,50,79,110,90
569|5,2,1;-5,4,1;2,-5,1;4,-4,1;-4,3,1;1,4,1;-3,-5,1;0,2,1|115,79,88,74,63,76,58,111
570|0,2,1;-1,2,1;0,2,1;-2,2,1;0,3,1;-1,5,1;-1,5,1|100,65,51,92,116,118,118
571|-1,5,1;0,-5,1;2,-4,1;2,3,1;2,-3,1;3,-1,1;-5,0,1|94,56,92,73,100,92,99
572|-5,0,1;-2,-1,1;0,0,1;1,-1,1;3,0,1;-5,0,1;-3,2,1;0,2,1;1,4,1|53,99,56,70,51,90,87,81,73
573|1,4,1;2,-5,1;-2,4,1;0,-5,1;0,2,1;2,-3,1;-2,-1,1;0,1,1|78,61,85,51,97,81,115,94
574|0,1,1;-1,-2,1;0,0,1;-2,0,1;1,0,1;-2,1,1;0,-3,1|113,64,70,119,83,112,79
575|0,-3,1;-2,2,1;0,-2,1;-1,0,1;0,1,1;2,-3,1;-3,2,1|87,81,94,106,70,86,103
576|-3,2,1;2,-2,1;-4,0,1;3,2,1;3,-2,1;4,1,1;-5,1,1;-4,1,1;2,3,1|72,67,61,51,75,86,79,56,85
577|2,3,1;-2,-3,1;0,0,1;1,2,1;-3,3,1;-1,3,1;0,-3,1;-2,0,1|101,105,53,104,82,51,103,79
578|-2,0,1;0,-2,1;-2,-1,1;0,0,1;1,2,1;-1,-2,1;0,0,1;2,0,1|90,57,96,81,111,58,103,84
579|2,0,1;2,0,1;-4,-2,1;3,1,1;-3,-1,1;2,0,1;2,-1,1;3,0,1|73,86,64,67,91,88,92,101
580|3,0,1;3,2,1;-3,3,1;1,4,1;-1,5,1;0,-5,1;-2,-4,1;1,3,1|64,60,87,97,98,85,80,102
581|1,3,1;-1,-5,1;0,2,1;0,-3,1;2,-1,1;2,0,1;-2,0,1|119,105,109,114,93,50,85
582|-2,0,1;0,0,1;0,1,1;0,1,1;0,2,1;-2,2,1;0,-3,1|100,96,115,51,111,65,106
583|0,-3,1;0,1,1;2,-3,1;-4,-2,1;3,0,1;5,-2,1;-5,1,1;2,2,1;-2,-3,1|92,63,51,82,79,76,57,59,86
584|-2,-3,1;1,-1,1;-3,0,1;2,2,1;4,3,1;-5,5,1;4,-5,1;-4,-2,1|60,52,51,93,62,110,82,119
585|-4,-2,1;2,0,1;-4,1,1;-3,2,1;-1,2,1;1,-3,1;2,0,1;3,0,1;-5,0,1|54,51,100,57,107,100,58,64,97
586|-5,0,1;-3,0,1;1,1,1;-1,-1,1;0,0,1;-1,2,1;0,2,1;0,-4,1|74,53,114,67,58,109,89,117
587|0,-4,1;2,-1,1;4,-1,1;-4,0,1;1,1,1;2,2,1;-3,-3,1;-1,-1,1|74,68,75,51,111,61,109,73
588|-1,-1,1;0,0,1;0,2,1;2,4,1;-4,-4,1;-3,3,1;2,3,1;-4,-3,1|76,85,55,68,99,68,68,81
589|-4,-3,1;3,0,1;-5,0,1;2,-1,1;-3,0,1;-2,0,1;1,-1,1|104,109,115,114,107,93,55
590|1,-1,1;-3,0,1;-1,-1,1;0,1,1;1,1,1;2,1,1;-3,3,1;2,3,1;-2,-4,1|102,65,85,67,51,53,94,77,50
591|-2,-4,1;0,-1,1;1,1,1;3,1,1;4,3,1;-5,-4,1;-2,-3,1;1,-2,1|97,108,103,65,60,55,80,60
592|1,-2,1;3,0,1;3,0,1;3,0,1;5,-1,1;-5,0,1;2,-1,1|77,110,85,87,67,104,109
593|2,-1,1;-4,0,1;2,-2,1;-3,1,1;2,-2,1;-3,1,1;0,3,1;1,-3,1;1,0,1|75,106,65,50,68,56,82,111,57
594|1,0,1;2,2,1;-4,-3,1;2,2,1;2,4,1;-3,4,1;2,-5,1;-2,4,1|74,61,62,57,114,75,96,119
595|-2,4,1;0,-5,1;-2,-2,1;0,0,1;0,1,1;-2,1,1;1,1,1;-2,-2,1|117,72,55,87,71,83,116,87
596|-2,-2,1;0,-1,1;0,-1,1;0,0,1;-1,0,1;0,-2,1;0,0,1|93,57,114,89,108,104,51
597|0,0,1;-1,1,1;0,1,1;2,-1,1;-2,0,1;0,2,1;-2,-4,1;-1,-1,1|94,66,108,102,61,51,67,77
598|-1,-1,1;0,1,1;2,2,1;3,-3,1;3,1,1;5,3,1;5,-4,1;5,-2,1;-5,-1,1|74,91,67,84,68,67,70,54,50
599|-5,-1,1;-2,0,1;0,0,1;0,0,1;1,2,1;1,3,1;2,4,1;-2,-5,1|72,78,64,117,96,106,74,61
600|-2,-5,1;-1,-3,1;0,1,1;-1,1,1;0,-1,1;2,0,1;-2,-1,1;1,0,1|93,79,102,92,87,58,92,61
