path_num|points|times
1|5,4,1;-5,4,1;-4,-5,1;-1,-2,1;-1,-1,1;0,0,1;1,0,1;2,0,1;3,0,1|86,54,99,51,58,111,50,57,110
2|3,0,1;5,2,1;,5,-4,1;-5,-2,1;-4,0,1;3,2,1;,4,-3,1;-5,-1,1;3,0,1|52,106,61,72,62,85,101,91,51
3|3,0,1;5,0,1;,5,-1,1;-5,0,1;2,1,1;-3,2,1;,0,-3,1|104,97,101,92,91,55,72
4|0,-3,1;2,0,1;,3,-1,1;-3,-1,1;-2,-1,1;0,1,1;,0,-2,1;-1,1,1|89,98,64,67,60,101,109,81
5|-1,1,1;0,1,1;2,2,1;-3,-3,1;,0,-2,1;0,1,1;-1,2,1|92,109,63,89,102,90,106
6|-1,2,1;0,4,1;,0,-4,1;-1,3,1;1,5,1;1,5,1;,2,-5,1;,2,-4,1|57,74,83,58,99,107,61,109
7|2,-4,1;-2,-1,1;0,0,1;0,0,1;-1,-1,1;0,1,1;-2,-2,1|83,77,105,118,118,71,62
8|-2,-2,1;0,1,1;,0,-2,1;2,1,1;-4,-2,1;-3,0,1;,0,-2,1;1,0,1|98,58,67,77,112,59,73,96
9|1,0,1;-2,0,1;1,2,1;,1,-3,1;1,0,1;-2,2,1;,0,-2,1;,0,-1,1|70,84,91,91,55,81,79,109
10|0,-1,1;-1,0,1;0,1,1;2,3,1;-3,5,1;-1,-5,1;0,3,1;-1,4,1|96,108,84,87,77,74,106,54
11|-1,4,1;0,5,1;,1,-5,1;-1,-4,1;,0,-3,1;,0,-1,1;,0,-1,1;-2,0,1;-1,-2,1|72,62,54,82,94,82,110,76,53
12|-1,-2,1;-1,0,1;-1,0,1;,0,-1,1;-2,1,1;-1,2,1;-1,-3,1;1,0,1|99,103,80,50,83,58,95,118
13|1,0,1;-2,2,1;,0,-2,1;0,0,1;1,2,1;,2,-2,1;3,0,1|119,85,72,100,71,118,77
14|3,0,1;-4,-1,1;-1,0,1;,0,-1,1;-2,1,1;0,2,1;-2,4,1;,0,-5,1|86,64,86,67,74,108,57,91
15|0,-5,1;-1,-4,1;0,2,1;,0,-3,1;0,2,1;,0,-4,1;-2,3,1|110,95,113,115,64,79,75
16|-2,3,1;,0,-3,1;-2,0,1;,0,-1,1;1,0,1;-2,1,1;0,2,1;,0,-4,1|50,77,54,70,100,115,81,110
17|0,-4,1;1,3,1;-3,-3,1;1,0,1;-1,0,1;0,0,1;0,2,1|54,119,93,103,103,109,95
18|0,2,1;-2,3,1;0,5,1;0,5,1;-2,-5,1;,1,-4,1;2,1,1;-3,-2,1|107,66,61,58,115,72,63,114
19|-3,-2,1;-1,0,1;0,0,1;1,0,1;-1,0,1;-1,-2,1;1,0,1;-1,0,1|84,99,83,81,51,85,96,74
20|-1,0,1;,0,-2,1;,1,-1,1;2,0,1;-4,0,1;1,0,1;-1,2,1;-1,-4,1;0,2,1|51,64,53,87,68,60,77,95,69
21|0,2,1;-2,2,1;0,2,1;-2,3,1;,0,-5,1;,1,-3,1;-3,2,1|97,92,88,99,105,79,93
22|-3,2,1;-1,2,1;-1,3,1;0,3,1;,0,-4,1;2,3,1;2,5,1|79,82,118,117,74,115,72
23|2,5,1;,3,-5,1;-4,-2,1;1,1,1;1,3,1;,1,-3,1;-3,0,1|85,105,58,91,97,114,62
24|-3,0,1;-2,-2,1;,0,-1,1;-2,-1,1;0,0,1;2,1,1;,2,-2,1;-3,0,1|109,69,68,90,61,71,104,65
25|-3,0,1;,0,-1,1;1,0,1;,3,-1,1;-3,1,1;-2,-3,1;,1,-1,1;-1,1,1;0,1,1|58,102,77,57,74,100,78,86,65
26|0,1,1;,0,-3,1;2,0,1;-3,-1,1;1,0,1;1,2,1;-2,-3,1;,0,-2,1|81,52,94,79,82,99,111,84
27|0,-2,1;-1,0,1;0,1,1;-1,1,1;0,2,1;,1,-4,1;3,2,1;-4,3,1|116,97,105,77,54,68,109,63
28|-4,3,1;-1,3,1;0,3,1;,0,-3,1;-2,1,1;,1,-2,1;2,1,1;-2,3,1|78,72,72,75,95,51,82,79
29|-2,3,1;,0,-3,1;-1,0,1;1,1,1;-1,3,1;-1,-5,1;1,3,1|94,82,54,105,69,109,115
30|1,3,1;-2,-5,1;,0,-4,1;2,1,1;-4,2,1;-1,4,1;,0,-5,1|92,97,66,100,112,79,82
31|0,-5,1;,2,-3,1;2,2,1;4,4,1;-5,4,1;,2,-4,1;2,3,1;-4,4,1;-3,-4,1|66,94,62,83,69,83,77,86,69
32|-3,-4,1;1,1,1;-3,1,1;-2,3,1;0,4,1;-1,-5,1;,1,-3,1|88,114,93,119,71,90,116
33|1,-3,1;-3,2,1;-1,3,1;0,3,1;,0,-5,1;0,2,1;,0,-2,1|96,67,54,109,116,117,108
34|0,-2,1;0,1,1;0,1,1;1,3,1;-1,3,1;,1,-4,1;,1,-1,1;1,0,1|90,97,51,107,92,87,70,86
35|1,0,1;,2,-1,1;-3,0,1;,2,-2,1;3,0,1;3,0,1;-4,0,1|117,79,91,102,63,105,100
36|-4,0,1;,2,-2,1;,4,-1,1;,5,-1,1;-5,1,1;-3,-2,1;-2,0,1;-1,0,1|53,105,56,55,72,118,108,111
37|-1,0,1;,0,-2,1;2,0,1;2,0,1;,2,-2,1;4,0,1;5,1,1;-5,-2,1;4,1,1|96,97,57,74,72,98,55,60,86
38|4,1,1;-4,-2,1;,3,-1,1;3,0,1;3,1,1;,4,-3,1;,5,-1,1;-5,0,1|65,100,89,106,58,89,77,80
39|-5,0,1;-4,-2,1;3,0,1;-4,-2,1;1,1,1;1,3,1;-3,4,1|104,72,94,98,69,83,116
40|-3,4,1;,1,-4,1;,1,-2,1;2,1,1;4,2,1;,5,-4,1;5,2,1;,5,-4,1|102,71,54,97,97,65,89,80
41|5,-4,1;,5,-2,1;5,0,1;-5,0,1;3,0,1;,3,-1,1;-3,0,1;2,1,1;-2,-1,1|111,52,83,58,68,107,52,98,60
42|-2,-1,1;0,1,1;-1,-1,1;0,0,1;0,2,1;,0,-4,1;-2,-2,1;0,1,1|51,107,75,110,63,68,117,54
43|0,1,1;,2,-1,1;3,1,1;-3,-2,1;-1,0,1;,0,-1,1;-2,-1,1|68,105,70,76,105,109,110
44|-2,-1,1;1,0,1;,3,-2,1;4,1,1;,5,-3,1;-5,0,1;-4,1,1|69,85,112,71,81,115,107
45|-4,1,1;3,2,1;-3,3,1;,0,-4,1;,0,-2,1;0,1,1;2,1,1;-3,-3,1|108,65,86,104,74,75,65,85
46|-3,-3,1;1,2,1;,2,-4,1;-4,-3,1;-3,0,1;0,0,1;0,0,1;1,0,1|98,51,109,99,109,74,50,97
47|1,0,1;,1,-2,1;-2,-1,1;0,0,1;1,0,1;,2,-2,1;3,0,1|89,85,81,111,102,56,71
48|3,0,1;3,2,1;-3,4,1;-1,5,1;,0,-5,1;1,4,1;,1,-5,1;2,4,1|80,84,92,111,59,84,94,51
49|2,4,1;,3,-4,1;-5,2,1;3,4,1;-5,5,1;-3,5,1;-2,-5,1|74,102,84,99,112,80,85
50|-2,-5,1;0,2,1;0,3,1;2,4,1;-2,4,1;0,4,1;,0,-4,1|56,104,101,119,116,79,74
51|0,-4,1;-2,2,1;0,3,1;0,4,1;1,5,1;1,5,1;3,5,1;4,5,1;-5,-5,1|88,92,69,116,62,53,68,67,74
52|-5,-5,1;4,2,1;-5,-3,1;,4,-2,1;-4,-1,1;-3,0,1;-2,0,1|115,62,66,88,105,98,80
53|-2,0,1;-1,-1,1;0,0,1;-2,-2,1;0,1,1;-1,-1,1;0,0,1;0,1,1|113,84,80,60,94,52,97,55
54|0,1,1;,0,-1,1;-1,-1,1;0,0,1;,0,-1,1;1,0,1;,3,-1,1;3,1,1;,3,-2,1|59,65,89,114,71,70,57,76,84
55|3,-2,1;-4,0,1;-3,0,1;-2,0,1;1,0,1;-3,-2,1;-1,0,1;,0,-2,1|95,77,85,110,85,95,75,68
56|0,-2,1;0,0,1;2,2,1;-4,4,1;,1,-5,1;-2,4,1;0,5,1|99,86,112,83,110,85,78
57|0,5,1;-2,5,1;,0,-5,1;-1,-2,1;-1,0,1;0,2,1;,0,-4,1|53,110,93,75,87,97,110
58|0,-4,1;2,3,1;2,4,1;-3,-5,1;0,4,1;,0,-4,1;,1,-3,1;2,0,1;-3,-2,1|80,95,62,83,72,71,65,92,71
59|-3,-2,1;,1,-1,1;-2,0,1;1,0,1;-3,-1,1;,1,-1,1;1,0,1|93,81,96,114,98,111,52
60|1,0,1;-2,0,1;,0,-1,1;2,0,1;-2,-2,1;1,0,1;-2,1,1|100,53,82,102,85,102,112
61|-2,1,1;,0,-2,1;2,1,1;-2,-2,1;0,0,1;-1,1,1;,0,-2,1;-1,-1,1|115,85,67,75,83,86,76,78
62|-1,-1,1;0,0,1;-1,2,1;0,3,1;-2,3,1;,0,-4,1;0,1,1;0,2,1|66,102,68,108,107,60,117,60
63|0,2,1;0,4,1;0,4,1;2,5,1;-3,5,1;,0,-5,1;0,2,1|87,52,81,78,104,115,83
64|0,2,1;2,3,1;,3,-5,1;4,3,1;,4,-5,1;-5,-2,1;3,1,1;-4,2,1|58,76,82,93,95,75,92,109
