
1|[5 4 1];[-2 -2  1];[-1  0  1];[-1  2  1];[ 0 -2  1];[0 0 1];[-1 -1  1];[-1 -1  1];[0 0 1];[-1 -1  1];[0 0 1];[-2  0  1];|42,45,57,60,77,56,77,52,53,63,40,62
2|[-2  0  1];[0 0 1];[-1 -2  1];[0 0 1];[0 1 1];[2 2 1];[ 2 -2  1];[-2  0  1];[0 1 1];[2 1 1];[ 2 -1  1];|44,68,79,57,61,69,57,61,55,40,68
3|[ 2 -1  1];[2 0 1];[-2  1  1];[0 1 1];[-1 -2  1];[0 0 1];[-2  2  1];[-1 -2  1];[-1  0  1];[0 1 1];[2 1 1];|73,62,72,51,44,59,70,52,51,63,70
4|[2 1 1];[-2 -2  1];[0 0 1];[-1 -2  1];[0 0 1];[ 0 -1  1];[0 0 1];[1 0 1];[-2  0  1];[ 0 -1  1];[-2  0  1];|64,72,70,41,48,60,61,44,78,47,63
5|[-2  0  1];[0 0 1];[ 0 -1  1];[-2  0  1];[ 0 -2  1];[-2  0  1];[0 1 1];[1 2 1];[-2  2  1];[0 2 1];[ 0 -2  1];[ 1 -1  1];|64,48,79,40,50,48,42,46,73,51,52,60
6|[ 1 -1  1];[-1  0  1];[0 0 1];[1 0 1];[2 0 1];[ 2 -2  1];[-2  0  1];[ 0 -2  1];[0 0 1];[-2  0  1];[1 1 1];|68,45,57,57,68,69,50,75,76,55,60
7|[1 1 1];[-1 -2  1];[ 0 -1  1];[0 1 1];[-1 -2  1];[0 0 1];[-1  1  1];[ 0 -2  1];[-1  0  1];[0 1 1];[-2 -1  1];|44,68,51,77,64,78,51,76,70,48,50
8|[-2 -1  1];[0 0 1];[-2  2  1];[ 1 -2  1];[-1  0  1];[ 1 -2  1];[-2  0  1];[ 0 -1  1];[-1 -1  1];[1 0 1];[-1 -2  1];|66,78,60,64,69,57,71,43,58,47,43
9|[-1 -2  1];[0 0 1];[0 0 1];[2 2 1];[2 2 1];[ 2 -2  1];[2 0 1];[2 0 1];[-2  2  1];[ 0 -2  1];[-1  0  1];[0 1 1];[1 2 1];|75,70,52,47,52,47,44,58,42,41,52,47,50
10|[1 2 1];[ 2 -2  1];[-2  0  1];[-1  0  1];[0 1 1];[2 2 1];[2 2 1];[-2 -2  1];[ 0 -1  1];[2 0 1];[2 0 1];|61,64,64,47,58,62,63,60,72,59,53
11|[2 0 1];[ 2 -2  1];[ 2 -1  1];[2 0 1];[-2 -1  1];[0 0 1];[1 2 1];[-2  2  1];[ 0 -2  1];[-1  0  1];[0 0 1];|54,58,44,64,65,78,60,71,73,48,60
12|[0 0 1];[0 0 1];[0 1 1];[1 1 1];[-2 -2  1];[-1  0  1];[1 0 1];[1 1 1];[1 2 1];[-2  2  1];[ 0 -2  1];|45,78,76,55,61,57,58,55,74,49,60
13|[ 0 -2  1];[0 0 1];[0 0 1];[0 1 1];[-1 -2  1];[0 1 1];[ 1 -1  1];[2 0 1];[2 0 1];[ 2 -1  1];[2 1 1];|55,44,50,78,76,79,70,55,44,69,58
14|[2 1 1];[ 2 -2  1];[ 2 -1  1];[2 1 1];[2 2 1];[-2 -2  1];[0 0 1];[-1  0  1];[0 0 1];[ 0 -2  1];[-1  1  1];|53,62,56,62,59,49,70,48,61,52,57
15|[-1  1  1];[0 2 1];[ 1 -2  1];[-2  0  1];[ 0 -1  1];[0 0 1];[0 0 1];[ 0 -2  1];[0 1 1];[-2  2  1];[ 0 -2  1];|66,49,47,76,42,58,67,55,75,61,76
16|[ 0 -2  1];[-2  0  1];[0 0 1];[ 0 -2  1];[1 0 1];[2 1 1];[-2  1  1];[0 2 1];[-1  2  1];[ 0 -2  1];[1 0 1];|79,57,77,42,57,57,50,75,61,65,57
17|[1 0 1];[2 2 1];[-2 -2  1];[-1 -1  1];[0 0 1];[0 2 1];[1 2 1];[ 2 -2  1];[-2  0  1];[ 0 -1  1];[ 2 -1  1];[-2  0  1];|57,40,49,54,41,61,48,66,75,76,72,49
18|[-2  0  1];[0 2 1];[ 0 -2  1];[-1  1  1];[0 2 1];[ 0 -2  1];[2 0 1];[2 1 1];[-2 -2  1];[-1  0  1];[-1  1  1];[-1  2  1];[0 2 1];|70,42,51,42,65,49,44,70,42,47,64,45,40
19|[0 2 1];[-1  2  1];[-1  2  1];[ 0 -2  1];[2 1 1];[2 2 1];[ 2 -2  1];[-2  1  1];[ 0 -1  1];[2 0 1];[-2 -2  1];|79,75,56,63,48,71,57,63,43,71,70
20|[-2 -2  1];[0 0 1];[-2  2  1];[ 0 -2  1];[2 0 1];[ 2 -2  1];[-2  0  1];[ 1 -2  1];[1 0 1];[-2 -2  1];[0 0 1];|66,60,40,65,61,70,47,74,65,49,56
21|[0 0 1];[-2  0  1];[0 2 1];[-1 -2  1];[0 0 1];[ 0 -1  1];[0 0 1];[0 0 1];[1 0 1];[-2  2  1];[0 2 1];|62,60,69,60,57,71,67,45,78,57,44
22|[0 2 1];[0 2 1];[0 2 1];[-1 -2  1];[-1  0  1];[0 0 1];[ 1 -2  1];[1 0 1];[-2 -1  1];[0 0 1];[0 2 1];[-1  2  1];|48,57,64,62,67,61,60,51,73,52,59,41
23|[-1  2  1];[0 2 1];[ 0 -2  1];[ 1 -1  1];[-1  0  1];[1 0 1];[2 0 1];[-2  0  1];[ 0 -1  1];[1 0 1];[2 1 1];|66,49,61,73,67,60,60,59,67,75,60
24|[2 1 1];[ 2 -2  1];[-2  0  1];[ 0 -2  1];[-2  0  1];[0 0 1];[ 1 -1  1];[1 0 1];[ 2 -2  1];[ 2 -1  1];[-2 -1  1];|49,66,75,46,59,57,52,60,76,53,70
25|[-2 -1  1];[0 0 1];[-1  0  1];[ 0 -1  1];[1 0 1];[-1 -2  1];[0 0 1];[1 2 1];[ 2 -2  1];[2 0 1];[ 2 -1  1];|43,71,44,50,77,77,76,44,53,61,63
26|[ 2 -1  1];[2 0 1];[2 0 1];[-2  1  1];[0 1 1];[-2 -2  1];[0 1 1];[ 2 -2  1];[2 1 1];[-2 -2  1];[0 0 1];|64,75,66,77,74,43,50,50,48,74,49
27|[0 0 1];[-1  0  1];[0 0 1];[1 0 1];[ 2 -1  1];[2 1 1];[-2 -1  1];[0 0 1];[-1  1  1];[-1 -1  1];[-1  0  1];|51,56,74,49,47,72,44,47,57,69,76
28|[-1  0  1];[0 0 1];[2 1 1];[-2 -2  1];[0 1 1];[-1 -2  1];[0 1 1];[0 2 1];[ 1 -2  1];[1 0 1];[-1  0  1];|70,47,65,74,71,73,44,46,60,47,61
29|[-1  0  1];[0 2 1];[0 2 1];[ 1 -2  1];[2 0 1];[ 2 -2  1];[2 0 1];[2 0 1];[-2 -1  1];[ 0 -1  1];[-2  0  1];|69,76,64,43,74,76,67,46,58,44,75
30|[-2  0  1];[0 0 1];[ 0 -2  1];[-2  0  1];[ 0 -1  1];[-1  0  1];[-1  2  1];[0 2 1];[ 0 -2  1];[1 0 1];[-2  0  1];[ 1 -1  1];|48,51,69,53,75,46,45,67,44,78,53,64
31|[ 1 -1  1];[-2  0  1];[0 2 1];[ 2 -2  1];[-2  0  1];[0 0 1];[1 0 1];[2 2 1];[-2 -2  1];[1 0 1];[-2 -2  1];|53,74,74,52,75,64,55,60,53,60,78
32|[-2 -2  1];[-1  0  1];[0 1 1];[ 0 -1  1];[0 0 1];[ 0 -1  1];[0 0 1];[-1  0  1];[1 0 1];[2 0 1];[-2  0  1];[0 1 1];|44,50,58,51,65,71,49,51,77,67,48,49
33|[0 1 1];[ 2 -2  1];[2 0 1];[-2  0  1];[0 1 1];[-1  2  1];[ 0 -2  1];[-2  0  1];[-1 -2  1];[0 0 1];[2 1 1];[-2  1  1];|55,54,76,73,47,54,47,40,78,40,51,71
34|[-2  1  1];[ 0 -2  1];[0 0 1];[-1  0  1];[ 0 -2  1];[1 0 1];[-1 -2  1];[0 1 1];[ 2 -2  1];[2 0 1];[2 0 1];[-2  2  1];|46,45,42,79,74,47,54,58,46,67,43,72
35|[-2  2  1];[ 0 -2  1];[-2  0  1];[0 0 1];[-1  0  1];[-1 -1  1];[ 0 -1  1];[0 0 1];[-1  0  1];[0 1 1];[-2 -1  1];[0 0 1];|55,54,63,69,41,57,52,54,40,72,51,58
36|[0 0 1];[ 1 -1  1];[-2  0  1];[ 0 -2  1];[-2  0  1];[0 1 1];[ 1 -1  1];[-2  0  1];[0 0 1];[0 0 1];[ 2 -1  1];[2 1 1];|72,55,49,68,41,67,64,42,49,62,47,48
37|[2 1 1];[ 2 -1  1];[-2  0  1];[0 0 1];[ 0 -1  1];[-1  1  1];[ 1 -2  1];[-1  0  1];[0 2 1];[1 2 1];[ 1 -2  1];|52,71,74,46,54,67,50,59,51,78,77
38|[ 1 -2  1];[2 1 1];[-2 -2  1];[0 0 1];[-2  2  1];[0 2 1];[2 2 1];[ 2 -2  1];[-2 -1  1];[0 0 1];|50,58,44,69,74,77,78,62,77,79
39|[0 0 1];[2 0 1];[2 2 1];[-2 -2  1];[-1  0  1];[ 0 -2  1];[1 0 1];[ 2 -1  1];[-2  0  1];[0 2 1];[-2  2  1];[ 0 -2  1];|43,69,47,55,62,61,45,49,74,46,65,57
40|[ 0 -2  1];[-2 -1  1];[ 1 -1  1];[2 1 1];[ 2 -2  1];[-2  0  1];[0 0 1];[1 2 1];[1 2 1];[-2  2  1];|54,69,55,47,56,72,72,77,78,67
41|[-2  2  1];[ 0 -2  1];[0 1 1];[-2 -2  1];[0 1 1];[-2 -2  1];[0 0 1];[0 0 1];[0 0 1];[1 0 1];[-2 -1  1];|73,74,65,60,42,44,60,70,68,51,77
42|[-2 -1  1];[-1  0  1];[0 2 1];[ 0 -2  1];[ 1 -1  1];[-2  1  1];[ 1 -2  1];[1 0 1];[ 1 -2  1];[-2  0  1];[1 1 1];|76,57,57,51,58,61,72,56,77,45,52
43|[1 1 1];[-2  2  1];[ 0 -2  1];[-1  0  1];[0 0 1];[ 1 -1  1];[2 0 1];[2 0 1];[ 2 -2  1];[-2  0  1];[ 0 -2  1];|65,53,43,58,64,69,64,78,55,56,50
44|[ 0 -2  1];[2 0 1];[-2  1  1];[0 2 1];[ 2 -2  1];[2 0 1];[-2  1  1];[-1  2  1];[0 2 1];[0 2 1];|57,67,44,78,44,72,69,72,73,70
45|[0 2 1];[1 2 1];[2 2 1];[-2 -2  1];[ 0 -1  1];[-2  1  1];[ 0 -2  1];[0 0 1];[1 0 1];[-2  2  1];[ 0 -2  1];|75,46,42,56,51,71,58,71,68,72,59
46|[ 0 -2  1];[-1  0  1];[ 0 -1  1];[-2  0  1];[0 1 1];[-2  1  1];[1 2 1];[ 1 -2  1];[-2  1  1];[ 0 -1  1];[-2  1  1];|52,52,46,69,77,73,63,43,77,59,57
47|[-2  1  1];[ 0 -2  1];[0 1 1];[-1 -1  1];[ 1 -1  1];[-2  0  1];[-1 -1  1];[1 0 1];[1 0 1];[-2  2  1];[0 2 1];[0 2 1];|41,69,43,63,52,41,48,52,66,74,79,61
48|[0 2 1];[-1  2  1];[0 2 1];[ 0 -2  1];[1 0 1];[-2  1  1];[ 1 -2  1];[2 0 1];[ 2 -2  1];[2 0 1];|76,78,55,66,64,67,61,77,74,66
49|[2 0 1];[-2  2  1];[0 2 1];[ 0 -2  1];[2 0 1];[-2 -1  1];[0 0 1];[1 0 1];[-1  0  1];[-1 -2  1];[0 0 1];[0 2 1];|67,50,72,64,48,56,40,57,46,53,55,52
50|[0 2 1];[2 2 1];[-2 -2  1];[0 0 1];[-1  2  1];[ 0 -2  1];[0 0 1];[-1  0  1];[ 0 -1  1];[0 0 1];[-2 -1  1];|60,43,79,69,60,43,63,73,58,71,53
51|[-2 -1  1];[-1  0  1];[1 2 1];[ 2 -2  1];[-2 -1  1];[-1  0  1];[0 0 1];[ 0 -1  1];[2 1 1];[ 2 -2  1];[-2  1  1];[-1 -2  1];|70,71,41,56,59,43,62,53,63,66,51,55
52|[-1 -2  1];[0 0 1];[ 1 -2  1];[2 0 1];[-2 -2  1];[ 0 -1  1];[-1  1  1];[-1  1  1];[ 0 -2  1];[1 0 1];[-2  0  1];|69,65,63,79,47,64,45,65,60,63,48
53|[-2  0  1];[ 0 -2  1];[1 0 1];[-1  0  1];[0 0 1];[ 0 -1  1];[0 0 1];[1 1 1];[-2 -2  1];[1 0 1];[-2  2  1];[ 1 -2  1];|77,42,41,67,59,68,53,46,77,44,50,59
54|[ 1 -2  1];[-2 -1  1];[0 0 1];[-1  0  1];[1 2 1];[-2  2  1];[ 1 -2  1];[-2  0  1];[ 0 -1  1];[0 0 1];[1 0 1];[ 1 -2  1];|64,60,41,59,64,72,69,42,54,67,52,50
55|[ 1 -2  1];[-2  0  1];[-1  2  1];[0 2 1];[-2  2  1];[ 0 -2  1];[0 0 1];[ 1 -2  1];[2 0 1];[-2  2  1];[0 2 1];|75,53,71,70,43,42,78,57,59,77,68
56|[0 2 1];[ 0 -2  1];[-1  0  1];[0 1 1];[-2 -2  1];[0 0 1];[2 0 1];[2 0 1];[-2 -2  1];[ 1 -1  1];[-2  1  1];[-1 -2  1];|74,48,49,52,58,71,66,61,56,62,40,54
57|[-1 -2  1];[0 1 1];[-2 -1  1];[-1  0  1];[-1  0  1];[0 2 1];[0 2 1];[ 2 -2  1];[2 0 1];[2 0 1];[-2  0  1];|67,46,75,43,79,65,47,61,69,66,61
58|[-2  0  1];[ 0 -2  1];[1 1 1];[ 2 -1  1];[ 2 -1  1];[2 1 1];[-2  2  1];[0 2 1];[ 2 -2  1];[2 0 1];[-2  2  1];|64,47,40,59,73,77,57,56,67,48,45
59|[-2  2  1];[ 1 -2  1];[-2  1  1];[0 2 1];[1 2 1];[ 1 -2  1];[-2  0  1];[-1 -1  1];[-1 -1  1];[-1  0  1];[0 1 1];|60,62,69,55,68,42,40,60,50,66,79
60|[0 1 1];[ 2 -1  1];[2 0 1];[2 1 1];[2 1 1];[2 1 1];[-2 -2  1];[-1  0  1];[0 0 1];[2 1 1];[-2  1  1];|50,66,70,76,74,51,53,78,45,56,79
61|[-2  1  1];[1 2 1];[1 2 1];[-2  2  1];[0 2 1];[ 0 -2  1];[-1  0  1];[ 1 -2  1];[2 1 1];[ 2 -1  1];[-2  0  1];|54,68,67,54,67,68,43,58,63,69,50
62|[-2  0  1];[-1  0  1];[-1  2  1];[ 0 -2  1];[0 0 1];[ 0 -1  1];[0 0 1];[ 0 -2  1];[2 0 1];[ 2 -1  1];[-2  1  1];[ 0 -2  1];|68,63,40,41,45,77,73,56,66,58,61,46
63|[ 0 -2  1];[0 0 1];[-2  1  1];[ 0 -2  1];[-1  0  1];[0 2 1];[ 2 -2  1];[2 0 1];[2 2 1];[ 2 -2  1];[-2  1  1];[0 2 1];|74,46,67,52,47,44,77,67,40,55,53,76
64|[0 2 1];[ 1 -2  1];[-2 -1  1];[0 1 1];[ 0 -1  1];[0 0 1];[ 0 -2  1];[-1  0  1];[0 0 1];[-1  2  1];|59,53,69,63,61,77,69,56,63,76
65|[-1  2  1];[ 0 -2  1];[1 1 1];[-2  2  1];[0 2 1];[ 2 -2  1];[-2  0  1];[ 0 -2  1];[-2  0  1];[0 0 1];[-1  0  1];|73,43,72,57,66,47,62,43,74,61,61
66|[-1  0  1];[-1  0  1];[0 2 1];[ 1 -2  1];[-1  1  1];[-1 -1  1];[0 0 1];[-1  0  1];[-1 -2  1];[0 0 1];[0 1 1];[ 2 -2  1];|50,78,66,68,61,54,50,44,42,49,56,56
67|[ 2 -2  1];[ 2 -1  1];[-2  0  1];[0 1 1];[-2 -2  1];[0 0 1];[ 1 -2  1];[1 0 1];[2 1 1];[-2  1  1];[-1  2  1];[0 2 1];|47,48,43,53,57,79,55,42,41,47,72,66
68|[0 2 1];[0 2 1];[ 1 -2  1];[-2  0  1];[ 1 -2  1];[-1  1  1];[1 2 1];[2 2 1];[2 2 1];[-2  2  1];[0 2 1];[ 0 -2  1];|76,44,58,41,56,51,49,68,44,72,53,79
