path_num|points|times
1|5,4,1;-7,-4,1;5,-3,1;-7,-2,1;5,-1,1|65,139,127,115,118
2|5,-1,1;6,-1,1;6,-1,1;7,-1,1;-7,0,1;6,2,1;6,-2,1|115,88,107,79,75,121,78
3|6,-2,1;7,0,1;-7,1,1;-4,-2,1;-1,0,1;0,-2,1|121,141,131,64,141,61
4|0,-2,1;-1,0,1;0,-1,1;-2,0,1;-1,1,1;1,2,1|96,127,83,110,109,138
5|1,2,1;-3,3,1;0,3,1;1,5,1;2,-5,1|130,89,141,133,109
6|2,-5,1;-2,2,1;0,-3,1;0,0,1;-1,-1,1|147,80,147,103,129
7|-1,-1,1;0,0,1;-2,2,1;0,-3,1;1,-2,1;-1,1,1|126,127,94,96,87,88
8|-1,1,1;0,3,1;1,5,1;2,-5,1;-4,3,1;2,5,1;-2,5,1|139,79,99,84,92,100,72
9|-2,5,1;0,7,1;-2,-7,1;0,-5,1;-2,-4,1;0,3,1|79,85,79,133,128,97
10|0,3,1;2,-3,1;-3,1,1;-1,2,1;0,-3,1;0,-1,1|141,111,122,93,83,78
11|0,-1,1;-2,0,1;0,0,1;2,1,1;2,-3,1;-4,2,1;-2,-3,1|124,85,144,63,98,85,79
12|-2,-3,1;0,0,1;-1,2,1;0,2,1;0,2,1;-2,3,1|90,108,149,84,116,70
13|-2,3,1;0,5,1;-2,5,1;1,-6,1;-1,5,1;0,6,1|124,77,111,137,81,134
14|0,6,1;-2,6,1;-1,7,1;0,7,1;0,-7,1;2,5,1;-2,-6,1|70,72,88,98,135,107,123
15|-2,-6,1;0,5,1;0,-5,1;0,2,1;1,-3,1;-2,0,1|72,125,145,131,80,109
16|-2,0,1;0,2,1;0,-4,1;-1,3,1;0,4,1;0,4,1|109,117,111,78,141,95
17|0,4,1;0,5,1;0,5,1;0,7,1;0,7,1;-2,7,1|144,94,71,111,126,117
18|-2,7,1;0,7,1;1,-7,1;2,-6,1;-2,-5,1|121,112,123,132,114
19|-2,-5,1;0,3,1;-2,-5,1;-1,3,1;0,-5,1;2,-3,1|119,123,113,113,121,87
20|2,-3,1;-2,-2,1;0,0,1;1,-2,1;3,0,1;-3,-2,1|95,91,101,87,113,146
21|-3,-2,1;1,0,1;1,1,1;-2,-1,1;1,0,1;2,0,1|121,71,85,128,133,135
22|2,0,1;-2,-1,1;0,1,1;-1,-3,1;0,-2,1;2,0,1|95,139,88,140,77,149
23|2,0,1;2,1,1;-2,-1,1;0,0,1;0,-2,1|71,107,142,134,133
24|0,-2,1;1,0,1;2,0,1;-2,2,1;0,3,1;-1,5,1|103,78,139,86,107,109
25|-1,5,1;0,5,1;0,-6,1;0,4,1;0,6,1;-1,-7,1;0,-4,1|90,83,68,102,66,96,97
26|0,-4,1;0,3,1;1,5,1;2,-5,1;2,3,1;-4,4,1|136,105,86,104,144,91
27|-4,4,1;-1,-4,1;0,-1,1;0,0,1;2,0,1;-3,-2,1|138,82,137,105,74,145
28|-3,-2,1;-1,1,1;0,-1,1;-2,-1,1;0,-1,1;-1,0,1|120,130,88,139,69,106
