path_num|points|times
331|-3,0,1;0,2,1;-4,-2,1;1,4,1;-3,3,1;2,-1,1|136,71,101,119,136,72
332|2,-1,1;-1,1,1;1,2,1;3,3,1;2,1,1;3,-3,1|98,109,140,110,116,97
333|3,-3,1;1,4,1;2,2,1;-2,0,1;2,-2,1;0,3,1|125,102,107,120,66,73
334|0,3,1;3,0,1;-3,-2,1;4,-3,1;1,0,1;0,-3,1;2,-2,1|123,126,123,71,80,90,74
335|2,-2,1;1,-4,1;3,-3,1;-4,3,1;1,2,1;-3,4,1;-1,-1,1|69,92,99,147,98,60,97
336|-1,-1,1;1,-2,1;-4,-4,1;4,3,1;1,0,1;4,4,1|71,145,117,126,86,86
337|4,4,1;-3,0,1;2,-1,1;3,3,1;-1,-3,1;0,1,1;-2,2,1|106,80,80,112,99,66,120
338|-2,2,1;3,-2,1;0,4,1;-3,-4,1;0,3,1;-1,0,1|130,137,81,135,67,141
339|-1,0,1;2,-4,1;0,-1,1;2,0,1;-3,3,1;-2,-3,1|135,64,95,92,79,148
340|-2,-3,1;-4,-1,1;-2,2,1;-1,3,1;0,-4,1;-3,3,1;0,-2,1|99,79,94,88,112,105,69
341|0,-2,1;-3,0,1;1,1,1;2,4,1;4,2,1;-4,0,1;4,-3,1;-4,3,1|84,134,62,61,73,121,85,68
342|-4,3,1;0,-2,1;-2,-4,1;-1,-1,1;1,0,1;-3,1,1|63,139,122,68,69,128
343|-3,1,1;-4,3,1;-1,1,1;-2,-4,1;-4,2,1;4,-4,1;-2,3,1|148,117,68,68,104,107,66
344|-2,3,1;0,1,1;-3,-4,1;2,-1,1;-4,-2,1;4,-1,1|130,68,101,120,95,90
345|4,-1,1;-1,0,1;4,1,1;3,-1,1;2,3,1|117,125,145,123,86
346|2,3,1;0,-1,1;-4,4,1;2,2,1;-3,1,1;3,-1,1|103,80,132,115,128,102
347|3,-1,1;-4,-2,1;-3,1,1;4,-2,1;0,4,1;2,2,1|70,90,108,95,127,148
348|2,2,1;-3,-4,1;-2,2,1;0,1,1;-4,-3,1;0,2,1;3,-2,1|145,88,75,85,88,66,111
349|3,-2,1;-2,0,1;0,4,1;-1,3,1;-4,-2,1;3,4,1;4,-2,1;0,-4,1|98,61,69,105,63,60,94,148
350|0,-4,1;1,2,1;4,0,1;-4,4,1;-2,2,1|148,131,89,143,102
351|-2,2,1;0,3,1;4,-2,1;-2,1,1;4,-1,1;-1,-3,1;-4,1,1|124,82,91,86,70,83,149
352|-4,1,1;0,3,1;2,2,1;3,-4,1;4,-2,1;2,-4,1;3,3,1|78,111,98,82,131,96,103
353|3,3,1;-3,1,1;-4,2,1;-3,-1,1;-2,3,1;-4,-1,1|136,141,61,70,149,87
354|-4,-1,1;1,-3,1;-2,-4,1;3,3,1;0,0,1;-2,-2,1;2,-3,1|130,149,91,67,62,75,107
355|2,-3,1;3,2,1;-4,-4,1;4,4,1;3,-3,1;0,2,1|108,131,119,81,147,86
356|0,2,1;-2,-1,1;2,-2,1;3,4,1;-1,3,1;1,-3,1|105,106,113,101,98,98
357|1,-3,1;-1,4,1;4,1,1;2,4,1;4,-3,1|147,85,87,129,148
358|4,-3,1;3,3,1;-3,4,1;2,-2,1;-1,-1,1;1,-4,1|86,128,147,93,84,77
359|1,-4,1;-1,-1,1;2,3,1;-3,-2,1;1,-1,1;0,0,1;4,1,1|135,126,98,63,101,68,86
360|4,1,1;1,-2,1;-3,3,1;0,0,1;-1,2,1;-3,4,1|72,147,128,122,121,78
361|-3,4,1;-1,2,1;3,-3,1;4,-2,1;-3,-1,1;-2,2,1;1,3,1|145,69,70,89,135,113,78
362|1,3,1;0,-1,1;2,0,1;4,-4,1;2,-2,1;-1,4,1|73,85,139,100,137,149
363|-1,4,1;-4,0,1;-3,4,1;-4,3,1;-1,-1,1;-4,-2,1;0,4,1|60,120,133,114,60,77,88
364|0,4,1;-2,2,1;-3,4,1;1,0,1;-2,-2,1;-4,4,1;-2,-3,1|108,70,83,136,136,60,64
365|-2,-3,1;2,1,1;-4,-3,1;1,-4,1;3,2,1;1,-3,1|136,143,106,66,100,87
366|1,-3,1;-3,-4,1;3,1,1;2,0,1;-1,-3,1;4,-1,1|109,100,111,140,123,74
367|4,-1,1;1,0,1;-3,-2,1;2,2,1;3,-1,1;-4,2,1|82,94,147,97,88,76
368|-4,2,1;-1,0,1;4,-4,1;-3,2,1;4,1,1;1,0,1|111,72,95,129,126,108
369|1,0,1;2,2,1;-2,4,1;0,-2,1;2,0,1;0,4,1|109,92,63,128,134,141
370|0,4,1;-4,-3,1;4,-2,1;-3,-4,1;-2,2,1;-3,0,1|128,146,108,89,88,122
371|-3,0,1;-4,1,1;2,-3,1;-4,3,1;-3,4,1;2,-4,1|75,115,141,95,132,136
372|2,-4,1;-1,-2,1;2,4,1;-3,3,1;1,-3,1|126,136,136,65,133
373|1,-3,1;2,-4,1;-2,-3,1;1,4,1;-3,-3,1;-1,1,1|146,108,71,133,113,117
374|-1,1,1;-3,-1,1;4,-4,1;-4,2,1;-1,0,1;3,2,1|134,119,123,69,109,92
375|3,2,1;-4,-3,1;4,4,1;3,-2,1;2,-1,1|73,110,143,124,133
376|2,-1,1;1,4,1;3,-1,1;0,-2,1;1,-4,1;0,0,1|117,117,119,64,101,142
377|0,0,1;-1,2,1;0,-3,1;4,0,1;-4,-1,1;0,3,1|77,88,95,128,139,134
378|0,3,1;1,-4,1;2,1,1;-4,2,1;-3,3,1;4,2,1;-2,-1,1|109,110,110,95,62,78,123
379|-2,-1,1;-3,0,1;1,-2,1;3,-4,1;2,1,1;-1,0,1|111,120,113,92,126,61
380|-1,0,1;3,1,1;0,2,1;2,-1,1;1,-4,1;0,3,1|125,129,140,100,86,117
381|0,3,1;-3,0,1;-1,3,1;-4,-3,1;-1,-2,1;4,-4,1|122,97,123,100,95,76
382|4,-4,1;-3,0,1;1,-3,1;-2,-1,1;-4,1,1;0,3,1|66,60,147,104,142,137
383|0,3,1;2,4,1;-4,-4,1;3,4,1;0,-1,1;4,0,1|95,85,107,87,134,104
384|4,0,1;-3,1,1;-2,0,1;3,-1,1;0,3,1;-2,1,1|116,74,137,89,141,113
385|-2,1,1;2,0,1;4,1,1;0,-4,1;4,-1,1;-2,0,1|111,65,117,135,72,116
386|-2,0,1;4,1,1;-3,0,1;0,-2,1;-3,-3,1;0,0,1|132,125,79,93,135,69
387|0,0,1;2,-4,1;1,3,1;0,-2,1;-1,-1,1|100,98,102,128,139
388|-1,-1,1;0,-2,1;-1,-3,1;-4,0,1;4,-1,1;-2,4,1|73,133,147,81,126,101
389|-2,4,1;0,3,1;4,-1,1;2,2,1;4,-2,1;3,0,1|145,95,125,73,79,91
390|3,0,1;0,-3,1;-3,2,1;-1,1,1;2,-2,1;1,1,1;-3,0,1|99,118,142,92,76,74,63
391|-3,0,1;1,-3,1;0,3,1;-1,-3,1;-2,3,1;2,-2,1|111,70,77,98,147,118
392|2,-2,1;4,2,1;1,-2,1;4,-3,1;-3,1,1;-4,2,1|105,133,92,137,111,88
393|-4,2,1;2,-4,1;4,0,1;-4,-2,1;-3,3,1|127,115,107,115,115
394|-3,3,1;2,2,1;3,0,1;4,2,1;-2,-4,1;1,0,1|141,64,119,118,110,109
395|1,0,1;-4,-1,1;-3,4,1;-4,-3,1;-1,4,1|105,127,139,134,139
396|-1,4,1;-4,-3,1;3,3,1;4,0,1;2,3,1;1,4,1|126,107,94,115,95,128
397|1,4,1;-3,-4,1;-4,-1,1;2,-4,1;-4,1,1;4,2,1|95,117,118,106,99,84
398|4,2,1;3,-1,1;0,1,1;4,-1,1;3,0,1;1,2,1|77,149,118,61,89,146
399|1,2,1;-4,1,1;-3,0,1;4,-2,1;-2,2,1;-3,1,1|125,141,112,101,84,112
400|-3,1,1;2,2,1;-3,-4,1;-2,-2,1;3,3,1;0,2,1|121,119,70,74,85,119
401|0,2,1;2,-3,1;3,4,1;2,2,1;-2,0,1;4,2,1;0,-3,1|77,61,70,95,92,131,145
402|0,-3,1;-4,2,1;3,-2,1;-3,-3,1;-2,1,1;-4,4,1|86,111,120,78,103,113
403|-4,4,1;-1,3,1;2,0,1;0,-4,1;-2,3,1;-3,-2,1|112,71,99,142,77,132
404|-3,-2,1;4,-3,1;-1,2,1;4,0,1;-4,3,1;-3,0,1|100,103,114,119,130,103
405|-3,0,1;1,-3,1;-4,1,1;-1,-3,1;-2,3,1|147,70,99,133,148
406|-2,3,1;4,2,1;-1,0,1;1,4,1;-2,-2,1;0,3,1;-4,0,1|74,77,102,70,76,137,68
407|-4,0,1;-3,3,1;1,1,1;4,-4,1;3,-2,1;-1,0,1;0,-3,1|75,104,73,93,134,111,105
408|0,-3,1;3,1,1;-1,-2,1;3,-1,1;-2,1,1;-4,-3,1|121,79,124,77,148,90
409|-4,-3,1;-1,3,1;0,-2,1;3,1,1;0,2,1;-2,3,1;0,1,1|72,111,67,66,135,69,99
410|0,1,1;4,4,1;-1,0,1;1,-1,1;2,2,1;-3,1,1|104,124,82,63,89,146
411|-3,1,1;-4,-2,1;-3,4,1;-1,-1,1;4,2,1;2,4,1|118,97,94,144,60,97
412|2,4,1;-3,3,1;4,-2,1;0,1,1;2,-1,1|127,131,122,148,84
