In Route: 2.0 In point: 5.0 SimTime: -647.1 TankMass: 10.001 |Negative Simtime 
In Route: 2.0 In point: 5.0 SimTime: -647.1 TargetRHO: 2.915 |DRONE out of control and lost the target 
In Route: 2.0 In point: 5.0 SimTime: -647.1 TankMass: 10.001 |Negative Simtime 
In Route: 2.0 In point: 5.0 SimTime: -647.1 TargetRHO: 2.915 |DRONE out of control and lost the target 
In Route: 2.0 In point: 5.0 SimTime: -647.1 TankMass: 10.001 |Negative Simtime 
In Route: 2.0 In point: 5.0 SimTime: -647.1 TargetRHO: 2.915 |DRONE out of control and lost the target 
In Route: 2.0 In point: 5.0 SimTime: -647.1 TankMass: 10.001 |Negative Simtime 
In Route: 2.0 In point: 5.0 SimTime: -647.1 TargetRHO: 2.915 |DRONE out of control and lost the target 
In Route: 2.0 In point: 5.0 SimTime: -647.1 TankMass: 10.001 |Negative Simtime 
In Route: 2.0 In point: 5.0 SimTime: -647.1 TargetRHO: 2.915 |DRONE out of control and lost the target 
In Route: 2.0 In point: 5.0 SimTime: -647.1 TankMass: 10.001 |Negative Simtime 
In Route: 2.0 In point: 5.0 SimTime: -647.1 TargetRHO: 2.915 |DRONE out of control and lost the target 
In Route: 2.0 In point: 5.0 SimTime: -647.1 TankMass: 10.001 |Negative Simtime 
In Route: 2.0 In point: 5.0 SimTime: -647.1 TargetRHO: 2.915 |DRONE out of control and lost the target 
In Route: 2.0 In point: 4.0 SimTime: -6.75 TankMass: 10.001 |Negative Simtime 
In Route: 2.0 In point: 4.0 SimTime: -5.75 TankMass: 10.001 |Negative Simtime 
In Route: 2.0 In point: 4.0 SimTime: -4.7 TankMass: 10.001 |Negative Simtime 
In Route: 2.0 In point: 4.0 SimTime: -3.75 TankMass: 10.001 |Negative Simtime 
In Route: 2.0 In point: 4.0 SimTime: -2.7 TankMass: 10.001 |Negative Simtime 
In Route: 2.0 In point: 4.0 SimTime: -1.7 TankMass: 10.001 |Negative Simtime 
In Route: 2.0 In point: 4.0 SimTime: -0.7 TankMass: 10.001 |Negative Simtime 
In Route: 3.0 In point: 5.0 SimTime: -455.1 TankMass: 10.001 |Negative Simtime 
In Route: 3.0 In point: 5.0 SimTime: -454.1 TankMass: 10.001 |Negative Simtime 
In Route: 3.0 In point: 5.0 SimTime: -453.1 TankMass: 10.001 |Negative Simtime 
In Route: 3.0 In point: 5.0 SimTime: -452.1 TankMass: 10.001 |Negative Simtime 
In Route: 3.0 In point: 5.0 SimTime: -451.15 TankMass: 10.001 |Negative Simtime 
In Route: 3.0 In point: 5.0 SimTime: -450.1 TankMass: 10.001 |Negative Simtime 
In Route: 3.0 In point: 5.0 SimTime: -449.1 TankMass: 10.001 |Negative Simtime 
