route_num|missing_points|simTime|tankMass|force_array|torque_array|rpm_list|droneVel|error_target_vel|error_target_dist 
79.0|11.0|0.8499999046325684|10.0009892578125|[70.26081085205078, 70.26193237304688, 70.26374053955078, 70.26567840576172]|[-0.14052161574363708, 0.14052386581897736, -0.14052748680114746, 0.14053136110305786]|[4554.335106980997, 4554.371455565656, 4554.430057774942, 4554.492862681127]|0.0|0.09105391800403595|1.139082769441302e-06
79.0|11.0|1.8499999046325684|9.9722978515625|[-163.72203063964844, 382.2214050292969, 355.083251953125, -190.82904052734375]|[0.32744404673576355, 0.7644428014755249, -0.7101665139198303, -0.38165807723999023]|[6952.195324397547, 10622.479614189626, 10238.433133938433, 7505.690244212663]|8.342175306097488e-08|0.09105383458228289|0.06307210773229599
79.0|11.0|2.8499999046325684|9.9436484375|[-223.5767364501953, 462.66680908203125, 417.4223327636719, -268.70489501953125]|[0.4471534490585327, 0.9253336191177368, -0.8348446488380432, -0.537409782409668]|[8124.22065191402, 11686.987419327594, 11100.850258118871, 8906.481969360371]|0.002205940429121256|0.0888479775749147|0.09494172781705856
79.0|11.0|3.8499999046325684|9.915041015625|[-111.46147918701172, 361.5020446777344, 306.8841857910156, -165.84176635742188]|[0.22292296588420868, 0.7230040431022644, -0.6137683987617493, -0.33168351650238037]|[5736.286116591437, 10330.558063194767, 9518.218244473355, 6997.0561870812435]|0.007449326105415821|0.08360459189862013|0.1090705394744873
79.0|11.0|4.849999904632568|9.8864736328125|[87.74171447753906, 167.09744262695312, 108.45772552490234, 29.432559967041016]|[-0.17548343539237976, 0.3341948986053467, -0.21691545844078064, 0.05886511877179146]|[5089.457148912995, 7023.495453035042, 5658.465212960946, 2947.694171935177]|0.015397156588733196|0.07565676141530275|0.11437519639730453
79.0|11.0|5.849999904632568|9.8579482421875|[282.9646301269531, -26.20860481262207, -86.496826171875, 223.0413055419922]|[-0.5659292340278625, -0.05241721123456955, 0.17299364507198334, 0.44608262181282043]|[9139.753450775792, 2781.5723150672643, 5053.22330141055, 8114.486709107202]|0.020275164395570755|0.0707787536084652|0.11579377949237823
79.0|11.0|6.849999904632568|9.8294638671875|[412.9328918457031, -155.5096893310547, -216.46575927734375, 352.3222351074219]|[-0.8258658051490784, -0.3110193908214569, 0.432931512594223, 0.7046444416046143]|[11040.993210450262, 6775.590194975934, 7993.979101101883, 10198.550018322347]|0.023002177476882935|0.06805174052715302|0.11592534184455872
79.0|11.0|8.549999237060547|9.7726181640625|[298.35968017578125, -53.197669982910156, -99.88624572753906, 251.6977996826172]|[-0.5967193841934204, -0.10639534145593643, 0.19977249205112457, 0.5033956170082092]|[9385.09062116427, 3962.9145634199635, 5430.267815921965, 8620.016824878921]|0.021252267062664032|0.06980165094137192|0.14428991079330444
79.0|11.0|10.899999618530273|9.7159375|[314.54986572265625, -58.070560455322266, -119.18148040771484, 253.6448516845703]|[-0.6290997266769409, -0.11614112555980682, 0.23836295306682587, 0.507289707660675]|[9636.36310277455, 4140.439210623926, 5931.6127748109975, 8653.293412562392]|0.016816064715385437|0.07423785328865051|0.11208819597959518
79.0|11.0|13.350000381469727|9.6312255859375|[-53.243446350097656, 248.52845764160156, 250.56378173828125, -51.55643844604492]|[0.10648689419031143, 0.49705690145492554, -0.5011275410652161, -0.10311287641525269]|[3964.6192322885613, 8565.57389929587, 8600.57627119795, 3901.30458535013]|0.016057953238487244|0.0749959647655487|0.1710343211889267
