1|5,4,1;-5,-4,1;4,-3,1;5,2,1;-5,-4,1;-3,3,1;0,-4,1;0,-2,1;-2,0,1;0,0,1;-2,2,1;0,-3,1;0,-1,1|50,42,41,32,45,24,33,27,21,47,20,37,43
2|,0,-1,1;1,0,1;-1,0,1;0,0,1;0,2,1;-2,2,1;0,-4,1;1,1,1;-2,-1,1;-1,0,1;-1,2,1|49,37,38,46,34,28,40,40,26,46,47
1|-1,2,1;-1,-2,1;0,1,1;2,3,1;3,-4,1;3,1,1;-4,3,1;3,-4,1;4,3,1;5,-4,1;5,-3,1;5,-1,1;5,0,1|25,46,33,49,41,28,24,40,41,22,40,29,28
4|5,0,1;-5,1,1;3,-3,1;5,1,1;5,-2,1;-5,0,1;4,-1,1;-4,0,1;1,0,1;2,0,1;-3,2,1;2,-4,1;3,1,1;-3,2,1|28,27,21,31,33,21,49,21,33,26,31,25,38,23
5|-3,2,1;0,3,1;-1,5,1;0,-5,1;0,3,1;1,3,1;-2,5,1;0,5,1;1,-5,1;3,2,1;-5,-3,1;-4,-1,1;-2,-1,1;0,0,1|48,38,44,27,34,22,31,28,24,24,37,20,28,42
6|0,0,1;-1,-2,1;0,0,1;-2,-2,1;1,0,1;-2,0,1;1,-2,1;3,0,1;5,0,1;5,0,1;5,0,1;5,-1,1|36,40,26,20,44,30,40,40,35,42,26,35
7|,5,-1,1;5,1,1;-5,-3,1;-4,2,1;-1,3,1;-1,-4,1;0,-1,1;1,0,1;-2,0,1;0,0,1;-2,-1,1;0,-1,1;0,-1,1|41,37,33,35,26,46,21,27,49,31,24,36,40
8|,0,-1,1;2,0,1;4,2,1;-5,2,1;4,4,1;5,5,1;-5,-5,1;4,-3,1;-5,-2,1;-4,1,1;-3,-3,1;0,-2,1;0,1,1|38,40,26,34,32,29,32,20,45,32,44,39,22
9|0,1,1;2,-2,1;-2,0,1;0,1,1;0,-1,1;0,0,1;1,-2,1;2,0,1;-3,0,1;0,-1,1;1,0,1;-2,0,1;0,2,1|40,29,31,38,43,24,24,47,39,30,23,44,34
10|0,2,1;1,-2,1;3,0,1;4,1,1;5,3,1;-5,5,1;2,-5,1;4,-2,1;-5,0,1;3,-1,1;5,0,1;-5,0,1;-4,0,1|40,28,39,47,43,20,43,21,25,41,41,23,35
11|-4,0,1;3,-1,1;3,0,1;-5,1,1;4,-3,1;-5,1,1;2,3,1;-2,5,1;-1,5,1;0,-5,1;-2,-4,1;0,2,1;-1,-3,1|47,22,40,25,47,34,36,41,32,45,23,28,28
12|-1,-3,1;0,1,1;0,1,1;0,-3,1;-1,1,1;0,3,1;-1,3,1;1,3,1;-1,3,1;0,-5,1;0,-4,1;-1,-2,1;0,0,1|37,33,39,28,40,21,47,49,20,29,37,46,20
13|0,0,1;2,0,1;4,0,1;-5,0,1;4,-1,1;5,0,1;-5,1,1;-4,3,1;1,-5,1;1,-3,1;2,1,1;2,-1,1|24,39,25,47,21,42,35,45,40,26,44,47
14|,2,-1,1;3,0,1;-4,2,1;-3,-4,1;-2,1,1;-1,3,1;1,4,1;3,5,1;-3,5,1;-1,5,1;1,-5,1;1,2,1|39,46,33,45,38,43,29,25,26,24,49,36
15|1,2,1;-3,-3,1;1,0,1;1,-2,1;3,0,1;-5,0,1;2,-2,1;4,-1,1;-5,1,1;4,1,1|46,44,42,48,47,48,46,36,29,20
16|4,1,1;5,1,1;5,-3,1;-5,0,1;-2,-2,1;0,1,1;-2,-2,1;-1,1,1;1,3,1;2,-5,1;2,-4,1;-2,3,1|36,32,42,25,30,48,29,32,46,43,27,37
17|-2,3,1;0,-5,1;2,-4,1;3,-1,1;4,-1,1;4,0,1;-5,-2,1;3,-1,1;-5,0,1;4,2,1;5,4,1;-5,-5,1;-2,-2,1|28,28,33,44,28,47,35,30,30,47,42,31,25
18|-2,-2,1;-1,-1,1;1,0,1;3,-1,1;-4,0,1;-1,1,1;1,-2,1;3,0,1;-4,0,1;1,0,1;2,-1,1;-2,-1,1|49,32,31,27,45,49,31,32,47,26,40,40
19|-2,-1,1;0,0,1;-1,0,1;0,2,1;0,-4,1;0,-2,1;-1,1,1;0,2,1;0,-3,1;-1,0,1;0,1,1;2,1,1|43,40,22,37,37,31,22,44,30,39,46,34
20|2,1,1;-3,2,1;2,-2,1;-3,0,1;0,0,1;-1,1,1;0,-1,1;2,-1,1;2,0,1;-4,-1,1;1,0,1;3,1,1|47,27,47,35,25,39,30,42,35,45,38,31
21|3,1,1;-4,-3,1;-2,-1,1;0,0,1;0,0,1;2,0,1;4,-2,1;-5,0,1;-2,-2,1;-1,0,1;-1,2,1;-1,-4,1;0,-2,1;1,0,1;-1,1,1|20,39,24,35,22,21,28,27,48,23,21,45,23,30,23
22|-1,1,1;0,1,1;0,-3,1;-2,0,1;-1,0,1;1,0,1;1,-1,1;-3,0,1;0,1,1;2,-3,1;-3,2,1;0,2,1;1,4,1|45,42,21,45,38,30,37,27,44,27,23,45,24
23|1,4,1;-2,-4,1;-1,-2,1;0,0,1;0,0,1;-1,-2,1;0,0,1;2,-1,1;-4,0,1;1,0,1;-2,0,1;0,-2,1;0,-1,1;0,-1,1|30,22,24,26,22,23,22,44,34,39,32,21,34,43
24|,0,-1,1;1,0,1;3,1,1;4,3,1;-5,-4,1;-4,-2,1;-3,0,1;1,1,1;1,-3,1;-2,2,1;0,3,1;0,3,1|34,20,43,20,42,44,46,44,28,32,32,47
25|0,3,1;0,-3,1;2,-1,1;-4,1,1;-1,-1,1;1,0,1;1,0,1;-3,-1,1;-1,0,1;0,0,1;0,1,1;1,2,1|39,30,24,41,47,33,31,35,48,32,49,26
26|1,2,1;2,2,1;4,-4,1;5,3,1;-5,-4,1;3,2,1;3,4,1;5,-5,1;-5,4,1;3,-5,1;3,-3,1;5,-1,1|43,46,31,21,43,45,38,24,46,31,20,42
27|,5,-1,1;-5,0,1;4,-1,1;-5,0,1;-2,0,1;0,-1,1;2,1,1;2,-2,1;-2,0,1;-1,0,1;1,2,1;-3,2,1;0,-2,1;-2,0,1|49,29,33,23,30,42,26,29,26,24,23,47,26,32
28|-2,0,1;0,0,1;2,-2,1;4,-1,1;-5,0,1;-3,2,1;2,4,1;3,4,1;3,4,1;3,5,1;-5,5,1;4,-5,1|40,27,26,38,30,33,39,42,39,35,23,42
29|,4,-5,1;4,3,1;-5,-3,1;2,-2,1;4,0,1;-5,0,1;3,-2,1;3,1,1;-3,-2,1;0,1,1;1,3,1;-2,-4,1;0,3,1;1,4,1|20,24,40,29,30,36,29,40,32,32,36,25,23,22
30|1,4,1;2,5,1;3,5,1;4,5,1;4,5,1;-5,-5,1;-4,-2,1;-3,0,1;-1,-1,1;0,1,1;1,2,1;-2,3,1;0,3,1|35,38,37,21,28,23,28,43,30,47,45,23,46
31|0,3,1;0,-4,1;-2,-2,1;0,0,1;0,0,1;0,0,1;1,-2,1;2,0,1;-2,-1,1;0,0,1;1,0,1;-3,-2,1|49,25,45,36,32,21,48,46,22,37,43,43
32|-3,-2,1;2,0,1;-4,0,1;-3,2,1;0,3,1;2,3,1;-4,-4,1;-2,-3,1;0,-2,1;0,0,1;0,-1,1|49,33,37,28,37,43,45,44,30,49,27
33|,0,-1,1;-2,1,1;0,-1,1;-2,1,1;1,-2,1;-3,0,1;0,2,1;2,-3,1;-2,0,1;0,0,1;0,-1,1;0,-1,1|46,38,22,26,39,39,31,46,48,48,35,21
34|,0,-1,1;0,0,1;1,0,1;3,-2,1;-4,-1,1;2,-1,1;-3,0,1;1,-2,1;2,0,1;-3,2,1;2,4,1;-4,-4,1;2,-3,1|31,24,42,27,42,24,21,35,49,42,38,42,23
35|,2,-3,1;2,0,1;-4,-2,1;-1,0,1;0,0,1;0,-1,1;0,-1,1;0,0,1;1,0,1;-3,-2,1;-1,0,1|45,40,35,39,30,43,43,46,35,33,40
36|-1,0,1;0,0,1;2,0,1;-4,-2,1;3,0,1;-3,-2,1;0,1,1;0,3,1;0,-4,1;-2,-3,1;0,0,1;-2,-2,1;0,0,1;-2,2,1|49,27,32,23,30,22,27,27,34,21,34,32,34,23
37|-2,2,1;1,-4,1;3,-2,1;4,0,1;-4,-2,1;1,1,1;1,3,1;1,-5,1;1,-4,1;-3,-3,1;1,-2,1;3,-1,1|21,44,35,41,40,44,34,41,42,29,24,35
38|,3,-1,1;-4,0,1;3,0,1;3,1,1;-3,-2,1;-1,0,1;0,-1,1;0,0,1;-1,1,1;0,2,1;0,4,1;-1,-4,1|42,23,39,24,45,49,29,25,39,40,41,39
39|-1,-4,1;0,1,1;1,3,1;1,-4,1;1,-2,1;-3,0,1;0,0,1;0,2,1;-2,-3,1;0,0,1;-1,-1,1;-1,-1,1;0,0,1|33,49,25,20,27,42,37,22,20,40,41,44,35
40|0,0,1;0,0,1;-2,1,1;0,-1,1;0,0,1;0,0,1;0,0,1;1,-2,1;-1,0,1;-1,0,1;1,-1,1;-1,0,1;0,-2,1;1,0,1|29,20,32,23,37,47,32,31,42,34,26,26,46,21
41|1,0,1;3,1,1;3,-3,1;5,1,1;5,-3,1;5,2,1;-5,-3,1;4,-1,1;4,-1,1;-5,0,1;4,0,1|47,47,46,47,46,45,41,31,22,26,27
42|4,0,1;5,2,1;5,3,1;5,-5,1;5,-4,1;5,-2,1;5,0,1;5,1,1;5,-2,1;-5,-1,1;-4,0,1;1,-2,1|45,29,46,23,45,28,45,20,47,32,45,35
43|,1,-2,1;2,-1,1;-2,0,1;0,2,1;2,-2,1;-2,0,1;-1,-1,1;1,0,1;2,2,1;-2,-3,1;1,0,1;3,1,1|30,29,47,35,22,43,25,47,41,38,38,30
44|3,1,1;3,1,1;-4,-1,1;1,0,1;2,-2,1;-2,0,1;0,0,1;1,-2,1;1,0,1;-1,0,1;0,1,1|25,48,46,43,48,41,28,31,30,49,40
45|0,1,1;0,2,1;0,-4,1;-2,-3,1;0,0,1;2,1,1;-2,-3,1;0,0,1;1,0,1;-3,1,1;0,-1,1;2,1,1;4,2,1;5,-2,1|27,48,29,24,33,43,29,31,42,35,24,22,29,21
46|,5,-2,1;-5,-1,1;4,0,1;5,1,1;5,3,1;-5,-5,1;-2,-3,1;0,0,1;2,0,1;3,-1,1;3,-1,1;3,1,1|43,30,47,32,42,36,42,44,49,34,27,20
47|3,1,1;-3,3,1;0,-5,1;0,3,1;2,5,1;4,-5,1;5,-2,1;5,0,1;5,-2,1;-5,1,1;-3,-3,1;2,0,1;3,0,1;4,2,1|26,26,38,37,23,30,30,48,23,45,29,26,47,20
48|4,2,1;5,2,1;5,3,1;5,-4,1;5,1,1;5,-1,1;-5,1,1;2,-2,1;-2,0,1;0,1,1;0,-3,1;-1,2,1;0,4,1|27,33,47,29,47,45,20,47,28,24,30,24,28
49|0,4,1;-2,5,1;0,-5,1;0,-3,1;0,0,1;-2,-1,1;0,0,1;1,-1,1;3,0,1;3,1,1;-5,2,1|35,38,49,25,32,48,44,35,35,49,44
50|-5,2,1;-2,4,1;0,-5,1;0,-3,1;-1,0,1;0,2,1;1,-4,1;1,-3,1;-1,0,1;0,-1,1;0,1,1;-2,-1,1|34,41,44,35,49,34,45,38,25,21,26,48
51|-2,-1,1;0,0,1;0,0,1;2,2,1;2,-4,1;-2,-3,1;-1,0,1;0,2,1;1,-3,1;-3,-1,1;-2,0,1;0,-2,1;0,0,1|42,48,21,31,36,32,29,40,29,23,35,41,27
52|0,0,1;1,2,1;1,2,1;-2,3,1;0,4,1;2,5,1;2,5,1;2,-5,1;4,3,1;-5,-4,1;-2,-3,1;0,-2,1|40,20,42,24,31,38,48,32,42,36,34,34
